dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas_min,8,v9,0.95,0.01,4.41,0
lucas_min,8,v9,0.95,0.01,4.41,1
lucas_min,8,v9,0.95,0.01,4.41,2
lucas_min,8,v9,0.95,0.01,4.41,3
lucas_min,8,v9,0.95,0.01,4.41,4
lucas_min,8,v9,0.95,0.01,4.41,5
lucas_min,8,v9,0.95,0.01,4.41,6
lucas_min,8,v9,0.95,0.01,4.41,7
lucas_min,8,v9,0.95,0.01,4.41,8
lucas_min,8,v9,0.95,0.01,4.41,9
lucas_min,8,v9,0.95,0.01,4.41,10
lucas_min,8,v9,0.95,0.01,4.41,11
lucas_min,8,v9,0.95,0.01,4.41,12
lucas_min,8,v9,0.95,0.01,4.41,13
lucas_min,8,v9,0.95,0.01,4.41,14
lucas_min,8,v9,0.95,0.01,4.41,15
lucas_min,8,v9,0.95,0.01,4.41,16
lucas_min,8,v9,0.95,0.01,4.41,17
lucas_min,8,v9,0.95,0.01,4.41,18
lucas_min,8,v9,0.95,0.01,4.41,19
