dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,pcal,0.76,37.96,2.03,0
lucas,512,pcal,0.76,37.96,2.03,1
lucas,512,pcal,0.76,37.96,2.03,2
lucas,512,pcal,0.76,37.96,2.03,3
lucas,512,pcal,0.76,37.96,2.03,4
lucas,512,pcal,0.76,37.96,2.03,5
lucas,512,pcal,0.76,37.96,2.03,6
lucas,512,pcal,0.76,37.96,2.03,7
lucas,512,pcal,0.76,37.96,2.03,8
lucas,512,pcal,0.76,37.96,2.03,9
lucas,512,pcal,0.76,37.96,2.03,10
lucas,512,pcal,0.76,37.96,2.03,11
lucas,512,pcal,0.76,37.96,2.03,12
lucas,512,pcal,0.76,37.96,2.03,13
lucas,512,pcal,0.76,37.96,2.03,14
lucas,512,pcal,0.76,37.96,2.03,15
lucas,512,pcal,0.76,37.96,2.03,16
lucas,512,pcal,0.76,37.96,2.03,17
lucas,512,pcal,0.76,37.96,2.03,18
lucas,512,pcal,0.76,37.96,2.03,19
lucas,256,pcal,0.6,48.71,1.59,0
lucas,256,pcal,0.6,48.71,1.59,1
lucas,256,pcal,0.6,48.71,1.59,2
lucas,256,pcal,0.6,48.71,1.59,3
lucas,256,pcal,0.6,48.71,1.59,4
lucas,256,pcal,0.6,48.71,1.59,5
lucas,256,pcal,0.6,48.71,1.59,6
lucas,256,pcal,0.6,48.71,1.59,7
lucas,256,pcal,0.6,48.71,1.59,8
lucas,256,pcal,0.6,48.71,1.59,9
lucas,256,pcal,0.6,48.71,1.59,10
lucas,256,pcal,0.6,48.71,1.59,11
lucas,256,pcal,0.6,48.71,1.59,12
lucas,256,pcal,0.6,48.71,1.59,13
lucas,256,pcal,0.6,48.71,1.59,14
lucas,256,pcal,0.6,48.71,1.59,15
lucas,256,pcal,0.6,48.71,1.59,16
lucas,256,pcal,0.6,48.71,1.59,17
lucas,256,pcal,0.6,48.71,1.59,18
lucas,256,pcal,0.6,48.71,1.59,19
lucas,128,pcal,0.29,64.91,1.19,0
lucas,128,pcal,0.29,64.91,1.19,1
lucas,128,pcal,0.29,64.91,1.19,2
lucas,128,pcal,0.29,64.91,1.19,3
lucas,128,pcal,0.29,64.91,1.19,4
lucas,128,pcal,0.29,64.91,1.19,5
lucas,128,pcal,0.29,64.91,1.19,6
lucas,128,pcal,0.29,64.91,1.19,7
