dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,v0,0.69,43.23,1.79,0
lucas,512,v0,0.69,43.23,1.79,1
lucas,512,v0,0.69,43.23,1.79,2
lucas,512,v0,0.69,43.23,1.79,3
lucas,512,v0,0.69,43.23,1.79,4
lucas,512,v0,0.69,43.23,1.79,5
lucas,512,v0,0.69,43.23,1.79,6
lucas,512,v0,0.69,43.23,1.79,7
lucas,512,v0,0.69,43.23,1.79,8
lucas,512,v0,0.69,43.23,1.79,9
lucas,512,v0,0.69,43.23,1.79,10
lucas,512,v0,0.69,43.23,1.79,11
lucas,512,v0,0.69,43.23,1.79,12
lucas,512,v0,0.69,43.23,1.79,13
lucas,512,v0,0.69,43.23,1.79,14
lucas,512,v0,0.69,43.23,1.79,15
lucas,512,v0,0.69,43.23,1.79,16
lucas,512,v0,0.69,43.23,1.79,17
lucas,512,v0,0.69,43.23,1.79,18
lucas,512,v0,0.69,43.23,1.79,19
lucas,256,v0,0.69,42.79,1.8,0
lucas,256,v0,0.69,42.79,1.8,1
lucas,256,v0,0.69,42.79,1.8,2
lucas,256,v0,0.69,42.79,1.8,3
lucas,256,v0,0.69,42.79,1.8,4
lucas,256,v0,0.69,42.79,1.8,5
lucas,256,v0,0.69,42.79,1.8,6
lucas,256,v0,0.69,42.79,1.8,7
lucas,256,v0,0.69,42.79,1.8,8
lucas,256,v0,0.69,42.79,1.8,9
lucas,256,v0,0.69,42.79,1.8,10
lucas,256,v0,0.69,42.79,1.8,11
lucas,256,v0,0.69,42.79,1.8,12
lucas,256,v0,0.69,42.79,1.8,13
lucas,256,v0,0.69,42.79,1.8,14
lucas,256,v0,0.69,42.79,1.8,15
lucas,256,v0,0.69,42.79,1.8,16
lucas,256,v0,0.69,42.79,1.8,17
lucas,256,v0,0.69,42.79,1.8,18
lucas,256,v0,0.69,42.79,1.8,19
lucas,128,v0,0.65,45.81,1.69,0
lucas,128,v0,0.65,45.81,1.69,1
lucas,128,v0,0.65,45.81,1.69,2
lucas,128,v0,0.65,45.81,1.69,3
lucas,128,v0,0.65,45.81,1.69,4
lucas,128,v0,0.65,45.81,1.69,5
lucas,128,v0,0.65,45.81,1.69,6
lucas,128,v0,0.65,45.81,1.69,7
lucas,128,v0,0.65,45.81,1.69,8
lucas,128,v0,0.65,45.81,1.69,9
lucas,128,v0,0.65,45.81,1.69,10
lucas,128,v0,0.65,45.81,1.69,11
lucas,128,v0,0.65,45.81,1.69,12
lucas,128,v0,0.65,45.81,1.69,13
lucas,128,v0,0.65,45.81,1.69,14
lucas,128,v0,0.65,45.81,1.69,15
lucas,128,v0,0.65,45.81,1.69,16
lucas,128,v0,0.65,45.81,1.69,17
lucas,128,v0,0.65,45.81,1.69,18
lucas,128,v0,0.65,45.81,1.69,19
lucas,64,v0,0.56,51.25,1.51,0
lucas,64,v0,0.56,51.25,1.51,1
lucas,64,v0,0.56,51.25,1.51,2
lucas,64,v0,0.56,51.25,1.51,3
lucas,64,v0,0.56,51.25,1.51,4
lucas,64,v0,0.56,51.25,1.51,5
lucas,64,v0,0.56,51.25,1.51,6
lucas,64,v0,0.56,51.25,1.51,7
