dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,v9,0.83,32.17,2.4,0
lucas,512,v9,0.83,32.17,2.4,1
lucas,512,v9,0.83,32.17,2.4,2
lucas,512,v9,0.83,32.17,2.4,3
lucas,512,v9,0.83,32.17,2.4,4
lucas,512,v9,0.83,32.17,2.4,5
lucas,512,v9,0.83,32.17,2.4,6
lucas,512,v9,0.83,32.17,2.4,7
lucas,512,v9,0.83,32.17,2.4,8
lucas,512,v9,0.83,32.17,2.4,9
lucas,512,v9,0.83,32.17,2.4,10
lucas,512,v9,0.83,32.17,2.4,11
lucas,512,v9,0.83,32.17,2.4,12
lucas,512,v9,0.83,32.17,2.4,13
lucas,512,v9,0.83,32.17,2.4,14
lucas,512,v9,0.83,32.17,2.4,15
lucas,512,v9,0.83,32.17,2.4,16
lucas,512,v9,0.83,32.17,2.4,17
lucas,512,v9,0.83,32.17,2.4,18
lucas,512,v9,0.83,32.17,2.4,19
lucas,256,v9,0.84,31.17,2.48,0
lucas,256,v9,0.84,31.17,2.48,1
lucas,256,v9,0.84,31.17,2.48,2
lucas,256,v9,0.84,31.17,2.48,3
lucas,256,v9,0.84,31.17,2.48,4
lucas,256,v9,0.84,31.17,2.48,5
lucas,256,v9,0.84,31.17,2.48,6
lucas,256,v9,0.84,31.17,2.48,7
lucas,256,v9,0.84,31.17,2.48,8
lucas,256,v9,0.84,31.17,2.48,9
lucas,256,v9,0.84,31.17,2.48,10
lucas,256,v9,0.84,31.17,2.48,11
lucas,256,v9,0.84,31.17,2.48,12
lucas,256,v9,0.84,31.17,2.48,13
lucas,256,v9,0.84,31.17,2.48,14
lucas,256,v9,0.84,31.17,2.48,15
lucas,256,v9,0.84,31.17,2.48,16
lucas,256,v9,0.84,31.17,2.48,17
lucas,256,v9,0.84,31.17,2.48,18
lucas,256,v9,0.84,31.17,2.48,19
lucas,128,v9,0.84,31.17,2.48,0
lucas,128,v9,0.84,31.17,2.48,1
lucas,128,v9,0.84,31.17,2.48,2
lucas,128,v9,0.84,31.17,2.48,3
lucas,128,v9,0.84,31.17,2.48,4
lucas,128,v9,0.84,31.17,2.48,5
lucas,128,v9,0.84,31.17,2.48,6
lucas,128,v9,0.84,31.17,2.48,7
lucas,128,v9,0.84,31.17,2.48,8
lucas,128,v9,0.84,31.17,2.48,9
