dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,v0,0.69,42.8,1.8,0
lucas,512,v0,0.69,42.8,1.8,1
lucas,512,v0,0.69,42.8,1.8,2
lucas,512,v0,0.69,42.8,1.8,3
lucas,512,v0,0.69,42.8,1.8,4
lucas,512,v0,0.69,42.8,1.8,5
lucas,512,v0,0.69,42.8,1.8,6
lucas,512,v0,0.69,42.8,1.8,7
lucas,512,v0,0.69,42.8,1.8,8
lucas,512,v0,0.69,42.8,1.8,9
lucas,512,v0,0.69,42.8,1.8,10
lucas,512,v0,0.69,42.8,1.8,11
lucas,512,v0,0.69,42.8,1.8,12
lucas,512,v0,0.69,42.8,1.8,13
lucas,512,v0,0.69,42.8,1.8,14
lucas,512,v0,0.69,42.8,1.8,15
lucas,512,v0,0.69,42.8,1.8,16
lucas,512,v0,0.69,42.8,1.8,17
lucas,512,v0,0.69,42.8,1.8,18
lucas,512,v0,0.69,42.8,1.8,19
lucas,256,v0,0.69,42.85,1.8,0
lucas,256,v0,0.69,42.85,1.8,1
lucas,256,v0,0.69,42.85,1.8,2
lucas,256,v0,0.69,42.85,1.8,3
lucas,256,v0,0.69,42.85,1.8,4
lucas,256,v0,0.69,42.85,1.8,5
lucas,256,v0,0.69,42.85,1.8,6
lucas,256,v0,0.69,42.85,1.8,7
lucas,256,v0,0.69,42.85,1.8,8
lucas,256,v0,0.69,42.85,1.8,9
lucas,256,v0,0.69,42.85,1.8,10
lucas,256,v0,0.69,42.85,1.8,11
lucas,256,v0,0.69,42.85,1.8,12
lucas,256,v0,0.69,42.85,1.8,13
lucas,256,v0,0.69,42.85,1.8,14
lucas,256,v0,0.69,42.85,1.8,15
lucas,256,v0,0.69,42.85,1.8,16
lucas,256,v0,0.69,42.85,1.8,17
lucas,256,v0,0.69,42.85,1.8,18
lucas,256,v0,0.69,42.85,1.8,19
lucas,128,v0,0.61,48.26,1.6,0
lucas,128,v0,0.61,48.26,1.6,1
lucas,128,v0,0.61,48.26,1.6,2
lucas,128,v0,0.61,48.26,1.6,3
lucas,128,v0,0.61,48.26,1.6,4
lucas,128,v0,0.61,48.26,1.6,5
lucas,128,v0,0.61,48.26,1.6,6
lucas,128,v0,0.61,48.26,1.6,7
lucas,128,v0,0.61,48.26,1.6,8
lucas,128,v0,0.61,48.26,1.6,9
lucas,128,v0,0.61,48.26,1.6,10
lucas,128,v0,0.61,48.26,1.6,11
lucas,128,v0,0.61,48.26,1.6,12
lucas,128,v0,0.61,48.26,1.6,13
lucas,128,v0,0.61,48.26,1.6,14
lucas,128,v0,0.61,48.26,1.6,15
lucas,128,v0,0.61,48.26,1.6,16
lucas,128,v0,0.61,48.26,1.6,17
lucas,128,v0,0.61,48.26,1.6,18
lucas,128,v0,0.61,48.26,1.6,19
lucas,64,v0,0.55,52.0,1.48,0
lucas,64,v0,0.55,52.0,1.48,1
lucas,64,v0,0.55,52.0,1.48,2
lucas,64,v0,0.55,52.0,1.48,3
lucas,64,v0,0.55,52.0,1.48,4
lucas,64,v0,0.55,52.0,1.48,5
lucas,64,v0,0.55,52.0,1.48,6
lucas,64,v0,0.55,52.0,1.48,7
lucas,64,v0,0.55,52.0,1.48,8
lucas,64,v0,0.55,52.0,1.48,9
lucas,64,v0,0.55,52.0,1.48,10
lucas,64,v0,0.55,52.0,1.48,11
lucas,64,v0,0.55,52.0,1.48,12
lucas,64,v0,0.55,52.0,1.48,13
lucas,64,v0,0.55,52.0,1.48,14
lucas,64,v0,0.55,52.0,1.48,15
lucas,64,v0,0.55,52.0,1.48,16
lucas,64,v0,0.55,52.0,1.48,17
lucas,64,v0,0.55,52.0,1.48,18
lucas,64,v0,0.55,52.0,1.48,19
lucas,32,v0,0.54,52.18,1.48,0
lucas,32,v0,0.54,52.18,1.48,1
lucas,32,v0,0.54,52.18,1.48,2
lucas,32,v0,0.54,52.18,1.48,3
lucas,32,v0,0.54,52.18,1.48,4
lucas,32,v0,0.54,52.18,1.48,5
lucas,32,v0,0.54,52.18,1.48,6
lucas,32,v0,0.54,52.18,1.48,7
lucas,32,v0,0.54,52.18,1.48,8
lucas,32,v0,0.54,52.18,1.48,9
lucas,32,v0,0.54,52.18,1.48,10
lucas,32,v0,0.54,52.18,1.48,11
lucas,32,v0,0.54,52.18,1.48,12
lucas,32,v0,0.54,52.18,1.48,13
lucas,32,v0,0.54,52.18,1.48,14
lucas,32,v0,0.54,52.18,1.48,15
lucas,32,v0,0.54,52.18,1.48,16
