dataset,target_size,algorithm,time,r2,rmse,rpd,selected_features,selected_weights
lucas,512,v6,452.815,0.829,31.929,31.929,32|34|41|55|57|63|71|95|107|115|123|147|158|187|219|237|325|330|334|337|342|359|363|365|370|372|376|388|402|420|423|425|431|432|437|439|453|470|476|477|486|516|542|546|557|561|562|574|589|592|606|612|623|625|638|641|658|661|666|673|674|678|686|699|700|703|706|708|711|712|716|735|740|743|753|754|761|767|780|782|790|795|837|840|893|895|900|904|909|922|935|965|1011|1022|1045|1049|1053|1083|1085|1091|1118|1119|1124|1131|1134|1137|1140|1147|1154|1156|1188|1192|1204|1217|1224|1233|1244|1253|1257|1264|1269|1279|1281|1324|1329|1349|1380|1387|1390|1416|1420|1427|1436|1439|1452|1467|1476|1510|1535|1538|1541|1544|1546|1553|1556|1557|1566|1569|1575|1578|1581|1588|1608|1617|1638|1639|1650|1657|1662|1663|1667|1692|1694|1702|1716|1732|1734|1743|1753|1758|1762|1786|1795|1803|1810|1819|1836|1838|1861|1873|1892|1926|1934|1940|1950|1966|1969|1972|1976|1985|1996|2008|2023|2039|2042|2046|2069|2078|2083|2090|2095|2098|2103|2104|2110|2111|2113|2116|2117|2118|2123|2126|2127|2134|2137|2138|2139|2141|2146|2148|2162|2174|2175|2181|2204|2207|2209|2211|2221|2242|2247|2272|2279|2300|2316|2356|2368|2370|2380|2399|2403|2435|2490|2506|2525|2561|2571|2608|2644|2645|2667|2704|2705|2713|2729|2736|2748|2754|2760|2762|2785|2793|2822|2823|2824|2825|2829|2841|2854|2855|2856|2861|2866|2873|2875|2876|2883|2894|2897|2899|2903|2911|2915|2919|2922|2941|2943|2955|2957|2961|2985|2991|2993|3008|3009|3012|3029|3046|3049|3050|3053|3057|3064|3066|3069|3072|3076|3094|3108|3126|3129|3145|3159|3161|3164|3172|3174|3175|3179|3181|3182|3184|3187|3192|3193|3196|3197|3203|3204|3206|3208|3209|3212|3213|3216|3217|3219|3220|3222|3223|3230|3231|3233|3234|3235|3237|3238|3239|3240|3241|3242|3246|3252|3254|3259|3261|3265|3278|3314|3329|3336|3342|3344|3345|3359|3363|3364|3367|3368|3370|3371|3373|3385|3387|3391|3393|3396|3397|3400|3401|3403|3404|3405|3410|3412|3419|3421|3423|3425|3428|3429|3430|3433|3434|3439|3442|3443|3447|3449|3451|3452|3453|3456|3457|3460|3461|3463|3464|3466|3469|3471|3472|3473|3478|3481|3482|3484|3486|3488|3489|3499|3525|3537|3543|3561|3563|3577|3579|3589|3591|3594|3597|3599|3602|3605|3608|3611|3612|3614|3615|3616|3618|3620|3629|3633|3636|3645|3657|3663|3664|3673|3674|3683|3685|3689|3701|3702|3715|3721|3730|3762|3765|3774|3796|3803|3805|3814|3815|3816|3820|3838|3841|3851|3861|3867|3877|3878|3885|3896|3918|3920|3985|3993|3994|4000|4006|4014|4037|4040|4068|4090|4095|4107|4118|4121|4134|4142|4149|4150|4154|4155|4156|4158|4159|4166|4170|4178|4186|4190|4191|4195|4199,0.0031937307212501764|0.003873008070513606|0.0036993729881942272|0.004926216322928667|0.00397241348400712|0.005907808896154165|0.007742196787148714|0.006420144345611334|2.86442494392395|0.003036252688616514|0.005696932319551706|0.004405268467962742|0.005795199889689684|0.00993290264159441|0.0058398740366101265|0.01010005921125412|0.007729679811745882|0.00878659263253212|0.007781045977026224|0.005668323952704668|0.00801454670727253|0.0054667298682034016|0.008737992495298386|0.003155563725158572|0.0047291661612689495|0.00545588368549943|0.0036122531164437532|0.003826123895123601|0.0070636579766869545|0.004295249469578266|0.004111133515834808|0.0049232919700443745|0.005472500808537006|0.007718827575445175|0.0032105001155287027|0.0029158443212509155|0.004997704643756151|0.004660109523683786|0.008112883195281029|0.003983499016612768|0.0037470730021595955|0.00436671357601881|0.005580935627222061|0.004559373017400503|0.002798308152705431|0.004042157903313637|0.002333303214982152|0.004769730381667614|0.006288932636380196|0.0048855971544981|0.004414130933582783|0.0052080475725233555|0.003043483942747116|0.004833035636693239|0.006612470839172602|0.0024855087976902723|0.006935608573257923|0.005682593211531639|0.0030550137162208557|0.006457595620304346|0.0061641414649784565|0.008605671115219593|0.003281302284449339|0.005987691693007946|0.006773924920707941|0.003596289549022913|0.004404828418046236|0.005494493525475264|0.0030697807669639587|0.007779553532600403|0.0038974261842668056|3.973191022872925|0.0038796185981482267|0.007194973062723875|0.0027028843760490417|0.009181537665426731|0.0052440050058066845|0.005330539774149656|0.007578594144433737|0.005795392207801342|0.0025019552558660507|0.0026978019159287214|0.007272017188370228|0.0039888243190944195|0.9241154193878174|0.0037887804210186005|0.002130284672603011|0.005343233700841665|0.004034744575619698|0.005491131916642189|0.004601203370839357|0.004975262098014355|0.007621316239237785|0.0028209316078573465|0.005730577744543552|0.006615187507122755|0.006184956058859825|0.0038569283206015825|0.00458968710154295|0.003489057533442974|0.006802490912377834|0.002539216075092554|5.698258399963379|0.004435832146555185|0.09276875108480453|0.0036689755506813526|0.005420567933470011|0.005136186722666025|0.002339413622394204|0.00350573961623013|0.004132621455937624|0.007278728764504194|0.00730388518422842|0.00713979359716177|0.0036350286100059748|4.519557952880859|0.0029891408048570156|0.006973288953304291|0.004373849369585514|0.0036407664883881807|0.006870449986308813|0.006603179033845663|0.00717509537935257|0.0018584353383630514|0.009662680327892303|0.006433929782360792|0.006019262131303549|0.00248870556242764|0.004001166671514511|0.004689088556915522|0.0029870665166527033|0.0036083448212593794|0.004536434542387724|0.002564252121374011|0.007106842938810587|0.002005730289965868|0.0032786165829747915|0.004070177674293518|1.942183494567871|0.004247664473950863|0.006948530208319426|0.005612979643046856|0.0069300709292292595|0.003868628293275833|0.0030473542865365744|0.003906007157638669|0.00463186576962471|0.0037668999284505844|0.007467793766409159|0.0016284978482872248|0.007969261147081852|0.0038642173167318106|0.0038070562295615673|0.002734975889325142|0.006474836263805628|0.0035174184013158083|0.008046559058129787|0.0021948886569589376|0.006103412713855505|0.00511469691991806|0.0014550152700394392|0.005045054946094751|0.002657034434378147|0.0028077992610633373|0.003022500779479742|0.00749966548755765|0.008669613860547543|0.008363904431462288|0.005633286200463772|0.0062027801759541035|0.006425028201192617|0.005561681929975748|0.00545182079076767|0.006734391674399376|0.0018447540933266282|0.0064931451342999935|0.005985494237393141|0.007304312661290169|0.006095029413700104|0.00465537840500474|0.004200856201350689|0.006087666843086481|0.005431647412478924|0.004305087961256504|0.004045933019369841|0.007226923946291208|0.0026839973870664835|0.0023957863450050354|0.004325870890170336|0.005290676839649677|0.004989112261682749|0.004308553412556648|0.00380742852576077|0.004315268713980913|0.005980298388749361|0.47474101185798645|0.008645083755254745|0.0029565461445599794|0.004068010486662388|0.0048903292044997215|0.00382041628472507|0.0068483236245810986|0.016155363991856575|0.006335257552564144|0.001809863024391234|0.01093246042728424|0.007166918367147446|0.006489332765340805|0.00413476349785924|0.007639268878847361|0.004112145863473415|0.00763633381575346|0.0029946896247565746|0.007612104993313551|0.00680562574416399|1.5217869281768799|0.005321596749126911|0.01100547332316637|0.00922419037669897|0.006754159927368164|0.006432490888983011|0.003014207584783435|0.0022883254569023848|0.004807571414858103|0.002222632523626089|0.003415212268009782|0.0031392951495945454|0.005505249835550785|0.0055954838171601295|0.004001080524176359|0.005272492300719023|0.008077798411250114|0.005333369597792625|0.006483456119894981|0.0032785306684672832|0.006269605364650488|4.076687812805176|0.00332877179607749|0.006515033543109894|0.004746916703879833|0.002968170680105686|0.002972553949803114|0.007599701639264822|0.008782632648944855|0.0026108932215720415|0.003496815450489521|0.007316133473068476|0.005463042762130499|0.0026765994261950254|0.006004778202623129|1.443747878074646|0.007872563786804676|0.005102992989122868|0.005083479918539524|0.003914305940270424|0.004644395783543587|0.008368831127882004|0.004028848372399807|0.0050021507777273655|0.006407560780644417|0.008316160179674625|0.009208274073898792|0.008026819676160812|0.005150338169187307|0.0058602262288331985|2.277301788330078|0.001688505755737424|0.006210196763277054|0.004124082624912262|0.004110017325729132|0.003163248533383012|0.0060888961888849735|0.0042030224576592445|0.0065552471205592155|0.004058406222611666|0.004155039321631193|0.005853496957570314|0.006095977034419775|0.003314911387860775|0.00279906764626503|0.0054314229637384415|0.005103107076138258|0.0039359331130981445|0.004573110491037369|0.0028245861176401377|0.003840158460661769|0.003580993041396141|0.0027531860396265984|0.006788170896470547|0.00446718605235219|0.006629846524447203|0.005749354138970375|0.0027161568868905306|0.0065223583951592445|0.112893246114254|0.005636984016746283|0.006445742212235928|0.006654519587755203|6.019888877868652|0.005075251683592796|0.003630240447819233|0.005058094393461943|0.005475047044456005|0.0056973607279360294|0.003948834724724293|0.006417797412723303|0.0033600102178752422|0.00426451675593853|0.0024077484849840403|0.008042807690799236|0.013986125588417053|0.008136788383126259|0.0016153514152392745|0.0042370399460196495|0.003306781640276313|0.004430206026881933|0.001994142308831215|0.002532240469008684|0.004677750635892153|0.0028662588447332382|0.002964714774861932|0.004346601665019989|0.004945386201143265|0.0050118169747292995|0.0050477441400289536|0.77520751953125|6.7464118003845215|0.006408922374248505|0.005528306122869253|0.008566909469664097|0.0038700567092746496|0.004541775211691856|0.007931900210678577|0.006958338897675276|0.0036521737929433584|0.0039505865424871445|0.006153032649308443|0.004553879611194134|1.9333189725875854|0.007826462388038635|0.002428437350317836|0.0026241017039865255|0.0023189617786556482|0.005632232408970594|0.003906106809154153|0.008125214837491512|0.00647292286157608|0.002256048610433936|0.010217681527137756|0.004028677474707365|0.0032408933620899916|0.002675042487680912|0.0023260617163032293|0.013750019483268261|0.008826371282339096|0.00318929529748857|0.007208290509879589|4.28492546081543|0.004339667968451977|0.005984920542687178|0.0071928477846086025|0.002911518095061183|0.0034373407252132893|0.004154391121119261|0.007283806800842285|0.0021633305586874485|0.007764497306197882|0.0034347136970609426|6.084354400634766|0.0034351458307355642|0.006154209841042757|0.0028199185617268085|0.006045366637408733|0.002848526230081916|0.0029334763530641794|0.003980623558163643|0.003959971480071545|0.005049767903983593|0.00617969548329711|0.0051558432169258595|0.006614466663450003|0.00484448904171586|0.0046732621267437935|0.0036169192753732204|0.002859454834833741|0.004312444943934679|0.008542130701243877|0.00683505879715085|0.0029760291799902916|0.007397547364234924|0.0028356674592942|0.0015596735756844282|0.00819624774158001|0.0015255428152158856|0.002782647032290697|0.007648010738193989|0.009027496911585331|0.0025756473187357187|0.0015288424910977483|0.0046042208559811115|0.00382840889506042|0.010360767133533955|0.0041511752642691135|0.004471289459615946|0.005528366658836603|0.007139777299016714|0.0021409287583082914|0.003602058393880725|0.002656295895576477|0.0057637691497802734|0.0034117456525564194|0.0037812325172126293|0.003673867555335164|0.005372000392526388|0.003566094907000661|0.008012805134057999|0.008717730641365051|0.003071441547945142|2.594572067260742|0.0025751704815775156|0.005611927714198828|0.003064570249989629|0.0010339554864913225|0.003071317682042718|0.006172320805490017|0.004749284125864506|0.003902176395058632|0.007509835064411163|0.004734734073281288|0.008078861981630325|0.004758392460644245|0.006386180873960257|0.01357381884008646|0.007169460412114859|0.0038544966373592615|0.009570255875587463|0.0033742208033800125|0.005522405728697777|0.002380116144195199|0.0048082550056278706|0.003020830685272813|0.0065474133007228374|0.006543198600411415|0.00422813231125474|0.0009169630357064307|0.003636143868789077|0.005496899131685495|0.007960882037878036|0.006768059451133013|0.006136680953204632|0.009387831203639507|0.006616554688662291|0.006755402777343988|0.006036474369466305|0.00477335462346673|0.005498476326465607|0.007092661689966917|0.004167226143181324|0.0057546705938875675|0.004082048777490854|0.003424550872296095|0.0072225420735776424|0.0032685964833945036|0.005224883556365967|0.0033364894334226847|0.007461888249963522|0.005981516558676958|0.007863898761570454|0.003215823322534561|0.0016721561551094055|0.00586249865591526|0.002717656549066305|0.005514100659638643|0.0030320952646434307|0.00460687093436718|0.0035999007523059845|0.0016407250659540296|0.005863342899829149|0.0028050628025084734|0.006049308460205793|0.010608156211674213|0.008512561209499836|0.002539485925808549|0.004283667076379061|0.002296031918376684|6.977859973907471|0.005555520765483379|0.0048258667811751366|0.0016667592572048306|0.0028047075029462576|0.0035936192143708467|0.006108790636062622|0.005088627338409424|0.008547410368919373|0.013388833031058311|0.0023425777908414602|0.001167662558145821|0.0029435346368700266|0.00615101819857955|0.009067423641681671|0.002893490483984351|0.005855867639183998|0.0029580583795905113|0.0038198698312044144|0.0017936601070687175|0.004771733190864325|0.002661993494257331|0.004433787893503904|0.003493127878755331|0.008337324485182762|0.008587841875851154|0.0034295644145458937
lucas,256,v6,0.0,0.833,31.532,31.532,95|115|147|158|388|402|420|425|431|432|486|546|557|623|625|661|666|673|703|706|712|716|743|761|782|790|795|840|895|909|1085|1134|1188|1217|1224|1253|1257|1281|1387|1390|1416|1427|1439|1467|1510|1546|1553|1556|1557|1566|1575|1578|1581|1588|1608|1638|1639|1650|1663|1716|1734|1786|1795|1803|1819|1838|1861|1892|1940|1966|1976|1985|2042|2046|2083|2095|2098|2110|2113|2116|2118|2126|2127|2134|2137|2139|2146|2181|2207|2209|2221|2242|2279|2356|2368|2490|2525|2561|2571|2644|2645|2713|2729|2736|2823|2854|2856|2866|2875|2883|2897|2903|2911|2922|2941|2943|2955|2993|3008|3029|3064|3069|3094|3126|3145|3161|3175|3179|3181|3184|3187|3192|3193|3197|3203|3204|3206|3208|3209|3212|3213|3216|3217|3223|3230|3231|3233|3234|3235|3237|3239|3240|3241|3246|3254|3259|3261|3329|3336|3342|3344|3345|3359|3364|3367|3368|3371|3373|3385|3387|3391|3403|3412|3419|3421|3423|3428|3430|3433|3434|3439|3442|3443|3447|3453|3456|3457|3460|3461|3464|3466|3469|3472|3473|3478|3481|3482|3484|3486|3499|3525|3561|3579|3589|3591|3594|3597|3599|3605|3608|3611|3612|3614|3615|3616|3618|3629|3633|3636|3645|3663|3664|3673|3674|3683|3689|3715|3762|3774|3796|3805|3814|3815|3838|3861|3867|3878|3896|3918|3920|4000|4006|4037|4090|4118|4134|4149|4150|4154|4155|4156|4158|4159|4190|4191|4195,0.006420144345611334|0.003036252688616514|0.004405268467962742|0.005795199889689684|0.003826123895123601|0.0070636579766869545|0.004295249469578266|0.0049232919700443745|0.005472500808537006|0.007718827575445175|0.0037470730021595955|0.004559373017400503|0.002798308152705431|0.003043483942747116|0.004833035636693239|0.005682593211531639|0.0030550137162208557|0.006457595620304346|0.003596289549022913|0.004404828418046236|0.007779553532600403|0.0038974261842668056|0.007194973062723875|0.0052440050058066845|0.005795392207801342|0.0025019552558660507|0.0026978019159287214|0.0039888243190944195|0.0037887804210186005|0.004034744575619698|0.00458968710154295|0.09276875108480453|0.004132621455937624|0.00713979359716177|0.0036350286100059748|0.006973288953304291|0.004373849369585514|0.00717509537935257|0.00248870556242764|0.004001166671514511|0.004689088556915522|0.0036083448212593794|0.002564252121374011|0.002005730289965868|0.004070177674293518|0.0069300709292292595|0.003868628293275833|0.0030473542865365744|0.003906007157638669|0.00463186576962471|0.007467793766409159|0.0016284978482872248|0.007969261147081852|0.0038642173167318106|0.0038070562295615673|0.006474836263805628|0.0035174184013158083|0.008046559058129787|0.00511469691991806|0.003022500779479742|0.008669613860547543|0.005561681929975748|0.00545182079076767|0.006734391674399376|0.0064931451342999935|0.007304312661290169|0.006095029413700104|0.004200856201350689|0.004305087961256504|0.007226923946291208|0.004325870890170336|0.005290676839649677|0.005980298388749361|0.47474101185798645|0.004068010486662388|0.00382041628472507|0.0068483236245810986|0.001809863024391234|0.007166918367147446|0.006489332765340805|0.007639268878847361|0.00763633381575346|0.0029946896247565746|0.007612104993313551|0.00680562574416399|0.005321596749126911|0.00922419037669897|0.004807571414858103|0.003415212268009782|0.0031392951495945454|0.0055954838171601295|0.004001080524176359|0.005333369597792625|0.006269605364650488|4.076687812805176|0.007599701639264822|0.0026108932215720415|0.003496815450489521|0.007316133473068476|0.0026765994261950254|0.006004778202623129|0.005083479918539524|0.003914305940270424|0.004644395783543587|0.005150338169187307|0.004124082624912262|0.003163248533383012|0.0042030224576592445|0.004058406222611666|0.005853496957570314|0.003314911387860775|0.0054314229637384415|0.005103107076138258|0.0028245861176401377|0.003840158460661769|0.003580993041396141|0.0027531860396265984|0.0027161568868905306|0.0065223583951592445|0.006445742212235928|0.005475047044456005|0.003948834724724293|0.00426451675593853|0.008042807690799236|0.008136788383126259|0.0042370399460196495|0.002532240469008684|0.004677750635892153|0.0028662588447332382|0.004346601665019989|0.004945386201143265|0.0050118169747292995|0.0050477441400289536|6.7464118003845215|0.006408922374248505|0.005528306122869253|0.008566909469664097|0.0038700567092746496|0.004541775211691856|0.007931900210678577|0.006958338897675276|0.0036521737929433584|0.0039505865424871445|0.007826462388038635|0.002428437350317836|0.0026241017039865255|0.0023189617786556482|0.005632232408970594|0.003906106809154153|0.008125214837491512|0.002256048610433936|0.010217681527137756|0.004028677474707365|0.002675042487680912|0.013750019483268261|0.008826371282339096|0.00318929529748857|0.005984920542687178|0.0071928477846086025|0.002911518095061183|0.0034373407252132893|0.004154391121119261|0.007283806800842285|0.007764497306197882|0.0034347136970609426|6.084354400634766|0.006154209841042757|0.0028199185617268085|0.006045366637408733|0.002848526230081916|0.0029334763530641794|0.006614466663450003|0.002859454834833741|0.004312444943934679|0.008542130701243877|0.00683505879715085|0.007397547364234924|0.0015596735756844282|0.00819624774158001|0.0015255428152158856|0.002782647032290697|0.007648010738193989|0.009027496911585331|0.0025756473187357187|0.010360767133533955|0.0041511752642691135|0.004471289459615946|0.005528366658836603|0.007139777299016714|0.003602058393880725|0.002656295895576477|0.0057637691497802734|0.0037812325172126293|0.003673867555335164|0.005372000392526388|0.003566094907000661|0.008012805134057999|0.008717730641365051|0.003071441547945142|0.005611927714198828|0.003064570249989629|0.006172320805490017|0.007509835064411163|0.004734734073281288|0.008078861981630325|0.004758392460644245|0.006386180873960257|0.01357381884008646|0.0038544966373592615|0.009570255875587463|0.0033742208033800125|0.005522405728697777|0.002380116144195199|0.0048082550056278706|0.003020830685272813|0.0065474133007228374|0.00422813231125474|0.0009169630357064307|0.003636143868789077|0.005496899131685495|0.006768059451133013|0.006136680953204632|0.009387831203639507|0.006616554688662291|0.006755402777343988|0.00477335462346673|0.004167226143181324|0.003424550872296095|0.0032685964833945036|0.005224883556365967|0.007461888249963522|0.005981516558676958|0.007863898761570454|0.00586249865591526|0.0030320952646434307|0.00460687093436718|0.0016407250659540296|0.0028050628025084734|0.006049308460205793|0.010608156211674213|0.002296031918376684|6.977859973907471|0.0048258667811751366|0.0035936192143708467|0.008547410368919373|0.0023425777908414602|0.0029435346368700266|0.00615101819857955|0.009067423641681671|0.002893490483984351|0.005855867639183998|0.0029580583795905113|0.0038198698312044144|0.003493127878755331|0.008337324485182762|0.008587841875851154
lucas,128,v6,0.0,0.83,31.853,31.853,95|158|546|557|625|661|706|716|761|895|1085|1134|1217|1387|1439|1467|1556|1566|1575|1608|1638|1786|1803|1838|2042|2046|2095|2098|2113|2116|2118|2126|2127|2146|2181|2207|2209|2279|2525|2561|2571|2644|2713|2729|2736|2823|2854|2866|2875|2883|2911|2922|2955|2993|3008|3064|3126|3145|3161|3175|3181|3197|3204|3213|3216|3231|3233|3235|3237|3239|3240|3241|3246|3254|3259|3336|3344|3345|3359|3368|3419|3421|3423|3433|3447|3453|3456|3457|3460|3461|3469|3472|3478|3499|3525|3561|3579|3589|3591|3597|3599|3612|3615|3616|3629|3636|3664|3674|3683|3689|3715|3762|3796|3805|3815|3867|3896|3918|3920|4000|4037|4090|4150|4154|4155|4156|4158|4191,0.006420144345611334|0.005795199889689684|0.004559373017400503|0.002798308152705431|0.004833035636693239|0.005682593211531639|0.004404828418046236|0.0038974261842668056|0.0052440050058066845|0.0037887804210186005|0.00458968710154295|0.09276875108480453|0.00713979359716177|0.00248870556242764|0.002564252121374011|0.002005730289965868|0.0030473542865365744|0.00463186576962471|0.007467793766409159|0.0038070562295615673|0.006474836263805628|0.005561681929975748|0.006734391674399376|0.007304312661290169|0.005980298388749361|0.47474101185798645|0.00382041628472507|0.0068483236245810986|0.007166918367147446|0.006489332765340805|0.007639268878847361|0.00763633381575346|0.0029946896247565746|0.00922419037669897|0.004807571414858103|0.003415212268009782|0.0031392951495945454|0.005333369597792625|0.0026108932215720415|0.003496815450489521|0.007316133473068476|0.0026765994261950254|0.005083479918539524|0.003914305940270424|0.004644395783543587|0.005150338169187307|0.004124082624912262|0.0042030224576592445|0.004058406222611666|0.005853496957570314|0.005103107076138258|0.0028245861176401377|0.0027531860396265984|0.0027161568868905306|0.0065223583951592445|0.005475047044456005|0.008042807690799236|0.008136788383126259|0.0042370399460196495|0.002532240469008684|0.0028662588447332382|6.7464118003845215|0.005528306122869253|0.006958338897675276|0.0036521737929433584|0.0026241017039865255|0.0023189617786556482|0.003906106809154153|0.008125214837491512|0.002256048610433936|0.010217681527137756|0.004028677474707365|0.002675042487680912|0.013750019483268261|0.008826371282339096|0.0071928477846086025|0.0034373407252132893|0.004154391121119261|0.007283806800842285|6.084354400634766|0.004312444943934679|0.008542130701243877|0.00683505879715085|0.00819624774158001|0.0025756473187357187|0.010360767133533955|0.0041511752642691135|0.004471289459615946|0.005528366658836603|0.007139777299016714|0.0057637691497802734|0.0037812325172126293|0.005372000392526388|0.005611927714198828|0.003064570249989629|0.006172320805490017|0.007509835064411163|0.004734734073281288|0.008078861981630325|0.006386180873960257|0.01357381884008646|0.005522405728697777|0.0048082550056278706|0.003020830685272813|0.00422813231125474|0.003636143868789077|0.006136680953204632|0.006616554688662291|0.006755402777343988|0.00477335462346673|0.004167226143181324|0.003424550872296095|0.005224883556365967|0.007461888249963522|0.007863898761570454|0.00460687093436718|0.0028050628025084734|0.006049308460205793|0.010608156211674213|0.002296031918376684|0.0048258667811751366|0.0035936192143708467|0.00615101819857955|0.009067423641681671|0.002893490483984351|0.005855867639183998|0.0029580583795905113|0.008337324485182762
lucas,64,v6,308.29,0.832,31.634,31.634,413|422|772|1932|1979|1990|1994|2073|2111|2133|2163|2171|2555|2753|2774|2838|3046|3057|3139|3153|3157|3159|3169|3171|3179|3182|3201|3203|3218|3221|3234|3236|3237|3254|3305|3313|3320|3346|3386|3387|3393|3399|3404|3409|3413|3417|3442|3446|3462|3493|3518|3522|3593|3620|3742|3744|3760|3773|3778|3805|3945|4112|4137|4150,0.005542932543903589|0.00510717136785388|0.007454314269125462|0.0036520089488476515|0.004854703787714243|0.0025337873958051205|0.004150512628257275|0.003882549935951829|0.005195877514779568|0.0029400817584246397|0.0033504737075418234|0.008347815833985806|0.005588528234511614|0.003440334228798747|0.0028679361566901207|0.002950836904346943|0.009720313362777233|0.007726377807557583|0.005188571289181709|0.007178137078881264|0.0052908179350197315|0.008528909645974636|0.004998595919460058|0.003691509598866105|0.006248871795833111|0.007652158848941326|0.002358952071517706|0.0024854629300534725|0.0031290058977901936|0.00777345011010766|0.005882627330720425|0.011719285510480404|1.7742773294448853|0.009244323708117008|0.004967468790709972|0.001804453320801258|1.0791312456130981|0.004165599122643471|0.008641552180051804|0.002171213971450925|0.00270703062415123|0.005500062834471464|0.0038186649326235056|0.00814521312713623|0.005309216678142548|0.0036985273472964764|0.008404378779232502|0.005989672150462866|0.0072242990136146545|0.00668409513309598|0.005559973418712616|0.00818223413079977|0.24177740514278412|0.0040252115577459335|0.007033082190901041|0.007330288644880056|0.003856251249089837|0.0027572012040764093|0.006542994175106287|0.003347164485603571|0.0018046223558485508|0.0066899023950099945|0.005795279983431101|0.007843743078410625
lucas,32,v6,0.0,0.815,33.213,33.213,413|1994|2163|2171|2774|3046|3057|3153|3159|3171|3179|3201|3203|3218|3236|3254|3313|3346|3387|3399|3409|3417|3442|3446|3493|3518|3744|3760|3773|3778|3805|3945,0.005542932543903589|0.004150512628257275|0.0033504737075418234|0.008347815833985806|0.0028679361566901207|0.009720313362777233|0.007726377807557583|0.007178137078881264|0.008528909645974636|0.003691509598866105|0.006248871795833111|0.002358952071517706|0.0024854629300534725|0.0031290058977901936|0.011719285510480404|0.009244323708117008|0.001804453320801258|0.004165599122643471|0.002171213971450925|0.005500062834471464|0.00814521312713623|0.0036985273472964764|0.008404378779232502|0.005989672150462866|0.00668409513309598|0.005559973418712616|0.007330288644880056|0.003856251249089837|0.0027572012040764093|0.006542994175106287|0.003347164485603571|0.0018046223558485508
lucas,16,v6,0.0,0.817,33.07,33.07,413|1994|2163|3057|3153|3179|3201|3218|3236|3313|3399|3417|3442|3446|3518|3945,0.005542932543903589|0.004150512628257275|0.0033504737075418234|0.007726377807557583|0.007178137078881264|0.006248871795833111|0.002358952071517706|0.0031290058977901936|0.011719285510480404|0.001804453320801258|0.005500062834471464|0.0036985273472964764|0.008404378779232502|0.005989672150462866|0.005559973418712616|0.0018046223558485508
lucas,8,v6,0.0,0.765,37.407,37.407,1994|2163|3057|3201|3236|3313|3399|3417,0.004150512628257275|0.0033504737075418234|0.007726377807557583|0.002358952071517706|0.011719285510480404|0.001804453320801258|0.005500062834471464|0.0036985273472964764
