dataset,target_size,algorithm,time,r2,rmse,rpd,selected_features,selected_weights
lucas,512,v9,364.234,0.826,32.167,32.167,21|48|77|87|90|104|107|110|118|157|168|179|207|212|234|258|266|270|283|285|287|290|291|309|312|318|321|325|334|337|342|344|345|346|347|350|351|370|371|383|387|389|391|393|394|397|398|399|413|419|420|423|424|467|470|480|520|521|541|549|552|654|660|684|685|697|701|716|728|750|764|768|771|779|800|802|803|805|807|811|840|844|845|850|852|861|865|885|894|897|906|921|935|937|943|953|955|962|963|966|971|984|987|991|1019|1030|1046|1061|1069|1076|1104|1110|1134|1136|1141|1142|1157|1167|1173|1174|1179|1198|1199|1205|1211|1220|1231|1235|1237|1240|1271|1280|1284|1297|1305|1308|1329|1335|1351|1355|1357|1358|1360|1364|1386|1389|1404|1410|1411|1429|1439|1443|1449|1453|1459|1463|1469|1485|1495|1535|1554|1557|1558|1582|1586|1588|1603|1605|1610|1619|1640|1654|1671|1676|1699|1702|1706|1707|1725|1736|1757|1766|1770|1778|1780|1791|1812|1818|1826|1828|1859|1876|1888|1895|1905|1916|1925|1926|1927|1934|1939|1950|1952|1962|1966|1976|1978|1982|1985|1999|2016|2018|2028|2074|2083|2087|2091|2119|2123|2131|2138|2150|2151|2153|2175|2180|2183|2185|2187|2204|2208|2219|2225|2228|2248|2251|2301|2324|2325|2328|2337|2338|2347|2349|2355|2361|2363|2369|2373|2379|2393|2402|2410|2430|2450|2456|2474|2488|2489|2520|2521|2530|2581|2592|2611|2614|2628|2639|2645|2653|2705|2706|2715|2720|2727|2730|2740|2744|2748|2762|2771|2773|2782|2791|2798|2813|2816|2858|2869|2873|2874|2877|2878|2880|2903|2910|2912|2916|2918|2920|2924|2945|2977|2979|2980|2982|2983|2987|2990|2995|3002|3007|3008|3013|3021|3022|3026|3031|3036|3037|3042|3044|3047|3051|3056|3057|3062|3066|3080|3082|3087|3090|3091|3095|3097|3098|3100|3124|3129|3135|3137|3140|3142|3143|3145|3146|3148|3156|3166|3172|3174|3184|3190|3192|3196|3206|3208|3217|3221|3233|3235|3239|3246|3247|3248|3254|3260|3261|3283|3286|3305|3311|3319|3320|3328|3341|3368|3379|3387|3396|3399|3404|3407|3408|3411|3415|3418|3419|3421|3429|3431|3434|3436|3439|3440|3445|3446|3447|3449|3450|3451|3454|3455|3456|3457|3458|3459|3461|3463|3464|3465|3466|3471|3473|3474|3478|3479|3481|3483|3485|3493|3496|3498|3501|3553|3574|3595|3597|3602|3605|3607|3608|3611|3613|3619|3620|3622|3629|3630|3640|3642|3651|3652|3656|3659|3674|3683|3713|3719|3739|3757|3761|3767|3778|3783|3788|3790|3796|3797|3800|3804|3812|3827|3837|3839|3841|3856|3859|3891|3900|3942|3965|3969|3972|3974|3977|4004|4005|4009|4013|4018|4024|4030|4034|4045|4053|4062|4064|4065|4071|4099|4111|4113|4132|4134|4137|4141|4145|4148|4154|4166|4167|4175|4178|4179|4180|4182|4183|4191|4194|4195|4199,0.0682593286037445|0.024374665692448616|0.04382884129881859|0.043668996542692184|0.03328901529312134|0.03503483906388283|0.11400111764669418|0.03596878424286842|0.004856637213379145|0.017634566873311996|0.024490682408213615|0.05233430489897728|0.003692085389047861|0.03852193057537079|0.07769320160150528|0.008311470970511436|0.021152371540665627|0.015648117288947105|0.0028732926584780216|0.06583156436681747|0.004053391516208649|0.021747982129454613|0.03677031770348549|0.07071951776742935|0.048172108829021454|0.059707995504140854|0.005816615652292967|0.0292133167386055|0.08617135137319565|0.011558474972844124|0.05324505642056465|0.036498118191957474|0.017810048535466194|0.06358764320611954|0.006070870440453291|0.007754504214972258|0.01210721768438816|0.07731002569198608|0.03291267529129982|0.018528858199715614|0.017929885536432266|0.04500170797109604|0.01794695481657982|0.03797547146677971|0.125681072473526|0.00955069437623024|0.0029371113050729036|0.014782553538680077|0.0072024608962237835|0.02741144225001335|0.08264737576246262|0.040414027869701385|0.014208571054041386|0.012170902453362942|0.0056791892275214195|0.04447996988892555|0.06251242756843567|0.006165242753922939|0.003169409232214093|0.04336436092853546|0.022856390103697777|0.024736827239394188|0.01619458571076393|0.049578066915273666|0.036276962608098984|0.02188311517238617|0.008831365965306759|0.1438308209180832|0.0071730418130755424|0.03733087331056595|0.008780879899859428|0.01616835594177246|0.04509974271059036|0.010846402496099472|0.022210942581295967|0.06383995711803436|0.08643098175525665|0.07546781003475189|0.04929513856768608|0.02399442158639431|0.06348107010126114|0.10585378110408783|0.01257578656077385|0.042904771864414215|0.037792764604091644|0.011963767930865288|0.01160417776554823|0.047113433480262756|0.04591791704297066|0.033688321709632874|0.13572244346141815|0.021312449127435684|0.020243054255843163|0.031252410262823105|0.07069021463394165|0.02357979491353035|0.036387789994478226|0.04284960404038429|0.04024370014667511|0.15226903557777405|0.026371216401457787|0.049804218113422394|0.08284364640712738|0.017697222530841827|0.02463344857096672|0.04792417958378792|0.08844870328903198|0.0022680717520415783|0.01911609247326851|0.03953754901885986|0.007627301383763552|0.127691850066185|0.040768515318632126|0.026212554425001144|0.11531384289264679|0.00347000639885664|0.16800640523433685|0.04383915290236473|0.20655158162117004|0.04662240296602249|0.045050278306007385|0.017373548820614815|0.046182360500097275|0.055993709713220596|0.04456368461251259|0.006292150821536779|0.03848343715071678|0.012762106023728848|0.1341804414987564|0.119579017162323|0.06486353278160095|0.06176883727312088|0.012776832096278667|0.06990330666303635|0.14504890143871307|0.02717393822968006|0.16571944952011108|0.007146535906940699|0.03723246604204178|0.013145272620022297|0.0803837850689888|0.004404837731271982|0.020008064806461334|0.04512026160955429|0.12197266519069672|0.0920788049697876|0.027198169380426407|0.02531602419912815|0.07107340544462204|0.06963108479976654|0.06040259078145027|0.014638954773545265|0.004441388417035341|0.012417293153703213|0.03113359585404396|0.11562449485063553|0.013615448959171772|0.08494556695222855|0.04964854195713997|0.04206567630171776|0.06552356481552124|0.04137486219406128|0.055499423295259476|0.08133351802825928|0.03159989044070244|0.008808399550616741|0.03976863622665405|0.061852339655160904|0.07574237138032913|0.04645920172333717|0.015922658145427704|0.05172082036733627|0.06959319114685059|0.00915794912725687|0.05525337532162666|0.3127634525299072|0.003738878294825554|0.026241715997457504|0.1051781177520752|0.0432470366358757|0.02646779455244541|0.04883631691336632|0.07351211458444595|0.011018042452633381|0.057314809411764145|0.02344813011586666|0.03145047649741173|0.08868535608053207|0.006998700555413961|0.06256559491157532|0.049199178814888|0.08140489459037781|0.10014677047729492|0.05744769051671028|0.08421619981527328|0.0607275553047657|0.03709417209029198|0.04544062167406082|0.145554780960083|0.021275417879223824|0.058856334537267685|0.04709620401263237|0.07116194814443588|0.002354175318032503|0.06721757352352142|0.010349541902542114|0.06693591177463531|0.024379128590226173|0.00788492988795042|0.053391870111227036|0.0431513786315918|0.022509004920721054|0.023197947070002556|0.039377979934215546|0.04620615020394325|0.07238228619098663|0.04047471284866333|0.00844582449644804|0.03649183362722397|0.030034365132451057|0.0606238916516304|0.03020646423101425|0.09717433154582977|0.07157038897275925|0.1622002124786377|0.05916302278637886|0.08016519248485565|0.00349329668097198|0.024896839633584023|0.137435644865036|0.035190943628549576|0.054208822548389435|0.004117988515645266|0.06415353715419769|0.13555879890918732|0.0515214279294014|0.029414791613817215|0.11428695172071457|0.04123948886990547|0.022306738421320915|0.025925729423761368|0.012737722136080265|0.05587786063551903|0.018214134499430656|0.01803058199584484|0.04745357111096382|0.04882701113820076|0.005685311742126942|0.01288481242954731|0.06547442078590393|0.011512464843690395|0.09747175872325897|0.10135531425476074|0.039419207721948624|0.05604882165789604|0.006463016849011183|0.009121019393205643|0.04736373946070671|0.03236536309123039|0.05598795413970947|0.001530927955172956|0.040289875119924545|0.08690046519041061|0.07854197174310684|0.06074446812272072|0.20741704106330872|0.05715394392609596|0.0516216978430748|0.027817463502287865|0.003718907479196787|0.059163808822631836|0.052752785384655|0.05898026004433632|0.05780910700559616|0.11890826374292374|0.008596818894147873|0.010983621701598167|0.061957940459251404|0.012565774843096733|0.023860039189457893|0.015289245173335075|0.04520241916179657|0.2631257474422455|0.06417541205883026|0.06208024546504021|0.003355781314894557|0.010351509787142277|0.058579571545124054|0.06800483912229538|0.02652420476078987|0.04218294844031334|0.03601563349366188|0.01925480179488659|0.13612055778503418|0.002111199079081416|0.08437778055667877|0.020339928567409515|0.05597037449479103|0.02314992994070053|0.026070861145853996|0.007334503810852766|0.036749862134456635|0.018880879506468773|0.026613444089889526|0.039477769285440445|0.010222719982266426|0.06037423759698868|0.1375529021024704|0.03371862694621086|0.03058653138577938|0.029551248997449875|0.10213595628738403|0.016226433217525482|0.02264977991580963|0.0471072718501091|0.014617428183555603|0.04133593663573265|0.05482477322220802|0.01650652475655079|0.10135849565267563|0.004727235995233059|0.01185104250907898|0.030093565583229065|0.0037561955396085978|0.04764078930020332|0.0038671852089464664|0.06688523292541504|0.040301185101270676|0.036898620426654816|0.07094709575176239|0.027600303292274475|0.08182696253061295|0.06873913109302521|0.10779000073671341|0.14218220114707947|0.02627037838101387|0.03123621642589569|0.07605466991662979|0.020978894084692|0.03954928368330002|0.1116260215640068|0.05500791221857071|0.019195619970560074|0.08076955378055573|0.04605088382959366|0.06098128855228424|0.017106078565120697|0.009219588711857796|0.062288179993629456|0.059528645128011703|0.038551297038793564|0.013894407078623772|0.06981728971004486|0.03227647766470909|0.07344556599855423|0.01583239994943142|0.03527500107884407|0.08290529251098633|0.002253487939015031|0.06887709349393845|0.07214531302452087|0.1671570986509323|0.026593877002596855|0.04115254059433937|0.12151985615491867|0.05377872660756111|0.01577860862016678|0.07408587634563446|0.0603228434920311|0.04858670383691788|0.05683669447898865|0.011816880665719509|0.06917943805456161|0.025995809584856033|0.05197608470916748|0.04899100586771965|0.08913588523864746|0.02619772218167782|0.01966303400695324|0.013717945665121078|0.014166769571602345|0.037464290857315063|0.02569715492427349|0.02946046181023121|0.004719237796962261|0.02870023064315319|0.025676388293504715|0.030584324151277542|0.05214488133788109|0.04738730192184448|0.01401781290769577|0.013389325700700283|0.008163243532180786|0.017696373164653778|0.018583394587039948|0.037362825125455856|0.008527328260242939|0.020901761949062347|0.02010195702314377|0.05268733948469162|0.04590780287981033|0.013996054418385029|0.12029826641082764|0.09251559525728226|0.03697466850280762|0.015208818949759007|0.022920439019799232|0.05221165716648102|0.023405911400914192|0.003077406669035554|0.06360731273889542|0.03753221407532692|0.06140834838151932|0.04863252118229866|0.07718975096940994|0.011645112186670303|0.06267819553613663|0.002583466237410903|0.021347742527723312|0.06446690112352371|0.022541342303156853|0.1156608834862709|0.01441456750035286|0.06723839044570923|0.028346635401248932|0.01439780741930008|0.08166252076625824|0.06342681497335434|0.034166786819696426|0.06156839430332184|0.014686777256429195|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.020083805546164513|0.06743965297937393|0.064300037920475|0.05232716351747513|0.04293648526072502|0.014182662591338158|0.013047628104686737|0.16056829690933228|0.0334678590297699|0.030458582565188408|0.004725947044789791|0.08147689700126648|0.013051715679466724|0.024753451347351074|0.01731296069920063|0.019844554364681244|0.045158423483371735|0.003684881143271923|0.03228594362735748|0.07929908484220505|0.09168453514575958|0.013965130783617496|0.004539829678833485|0.04452509433031082|0.021633846685290337|0.022588146850466728|0.00391248008236289|0.12441803514957428|0.08563025295734406|0.024862181395292282|0.0075126467272639275|0.06573735922574997|0.04616048187017441|0.018926475197076797|0.09077884256839752|0.06924206018447876|0.017170315608382225|0.03343607485294342|0.08424411714076996|0.07952986657619476|0.018193930387496948|0.05694739893078804|0.06487215310335159|0.015018782578408718|0.04485797509551048|0.06429525464773178|0.00586909893900156|0.004804215393960476|0.1833629012107849|0.03683234751224518|0.07506056129932404|0.06673816591501236|0.010198542848229408|0.08157072961330414|0.12848536670207977|0.007051840890198946|0.015532233752310276|0.06016038358211517|0.068756602704525|0.019003985449671745|0.04138651117682457|0.008215700276196003|0.04738951474428177|0.07491087913513184|0.009432990103960037|0.013303242623806|0.08359013497829437|0.0648084357380867|0.06552620232105255|0.04941120743751526|0.01192648895084858|0.056670181453228|0.06681668013334274|0.06732630729675293|0.014149772934615612|0.023626815527677536|0.03661654144525528|0.06524107605218887
lucas,256,v9,0,0.837,31.168,31.168,21|77|104|107|157|179|212|258|266|270|283|285|287|290|312|318|321|325|334|337|344|346|350|351|371|389|391|393|394|397|413|419|420|423|424|480|521|552|685|697|768|807|840|850|861|865|885|894|921|935|953|955|984|991|1019|1046|1061|1076|1104|1136|1142|1167|1198|1199|1360|1404|1449|1453|1554|1586|1588|1671|1736|1780|1791|1818|1859|1876|1895|1905|1962|1976|1978|1982|1999|2018|2083|2087|2091|2123|2131|2138|2150|2153|2180|2183|2187|2228|2349|2379|2393|2456|2581|2592|2611|2628|2639|2744|2748|2873|2874|2877|2878|2903|2912|2916|2977|2979|2982|2990|2995|3008|3013|3022|3026|3031|3036|3037|3042|3044|3056|3057|3062|3066|3080|3082|3087|3091|3097|3098|3100|3124|3135|3137|3143|3146|3148|3156|3166|3172|3174|3184|3190|3196|3206|3208|3217|3235|3239|3246|3247|3254|3260|3261|3319|3379|3396|3399|3407|3408|3415|3418|3419|3421|3429|3431|3434|3439|3440|3445|3446|3447|3449|3450|3451|3454|3456|3457|3458|3461|3463|3464|3465|3466|3471|3473|3474|3478|3479|3481|3483|3493|3574|3602|3605|3607|3608|3611|3613|3619|3620|3622|3629|3640|3652|3674|3739|3757|3761|3778|3788|3790|3800|3804|3812|3827|3839|3841|3856|3859|3891|3900|3942|3972|3977|4004|4024|4034|4062|4065|4071|4099|4111|4132|4134|4137|4141|4145|4154|4167|4175|4178|4179|4182|4191|4199,0.0682593286037445|0.04382884129881859|0.03503483906388283|0.11400111764669418|0.017634566873311996|0.05233430489897728|0.03852193057537079|0.008311470970511436|0.021152371540665627|0.015648117288947105|0.0028732926584780216|0.06583156436681747|0.004053391516208649|0.021747982129454613|0.048172108829021454|0.059707995504140854|0.005816615652292967|0.0292133167386055|0.08617135137319565|0.011558474972844124|0.036498118191957474|0.06358764320611954|0.007754504214972258|0.01210721768438816|0.03291267529129982|0.04500170797109604|0.01794695481657982|0.03797547146677971|0.125681072473526|0.00955069437623024|0.0072024608962237835|0.02741144225001335|0.08264737576246262|0.040414027869701385|0.014208571054041386|0.04447996988892555|0.006165242753922939|0.022856390103697777|0.036276962608098984|0.02188311517238617|0.01616835594177246|0.04929513856768608|0.06348107010126114|0.042904771864414215|0.011963767930865288|0.01160417776554823|0.047113433480262756|0.04591791704297066|0.021312449127435684|0.020243054255843163|0.02357979491353035|0.036387789994478226|0.049804218113422394|0.017697222530841827|0.02463344857096672|0.08844870328903198|0.0022680717520415783|0.03953754901885986|0.007627301383763552|0.026212554425001144|0.00347000639885664|0.04383915290236473|0.017373548820614815|0.046182360500097275|0.020008064806461334|0.027198169380426407|0.004441388417035341|0.012417293153703213|0.06552356481552124|0.03159989044070244|0.008808399550616741|0.06959319114685059|0.0432470366358757|0.057314809411764145|0.02344813011586666|0.08868535608053207|0.049199178814888|0.08140489459037781|0.05744769051671028|0.08421619981527328|0.002354175318032503|0.010349541902542114|0.06693591177463531|0.024379128590226173|0.053391870111227036|0.022509004920721054|0.04620615020394325|0.07238228619098663|0.04047471284866333|0.03649183362722397|0.030034365132451057|0.0606238916516304|0.03020646423101425|0.07157038897275925|0.05916302278637886|0.08016519248485565|0.024896839633584023|0.06415353715419769|0.018214134499430656|0.06547442078590393|0.011512464843690395|0.006463016849011183|0.08690046519041061|0.07854197174310684|0.06074446812272072|0.05715394392609596|0.0516216978430748|0.061957940459251404|0.012565774843096733|0.02652420476078987|0.04218294844031334|0.03601563349366188|0.01925480179488659|0.002111199079081416|0.020339928567409515|0.05597037449479103|0.018880879506468773|0.026613444089889526|0.010222719982266426|0.03371862694621086|0.03058653138577938|0.016226433217525482|0.02264977991580963|0.014617428183555603|0.04133593663573265|0.05482477322220802|0.01650652475655079|0.10135849565267563|0.004727235995233059|0.01185104250907898|0.04764078930020332|0.0038671852089464664|0.06688523292541504|0.040301185101270676|0.036898620426654816|0.07094709575176239|0.027600303292274475|0.06873913109302521|0.14218220114707947|0.02627037838101387|0.03123621642589569|0.07605466991662979|0.03954928368330002|0.1116260215640068|0.08076955378055573|0.06098128855228424|0.017106078565120697|0.009219588711857796|0.062288179993629456|0.059528645128011703|0.038551297038793564|0.013894407078623772|0.06981728971004486|0.07344556599855423|0.01583239994943142|0.03527500107884407|0.08290529251098633|0.07214531302452087|0.1671570986509323|0.026593877002596855|0.04115254059433937|0.05377872660756111|0.01577860862016678|0.07408587634563446|0.06917943805456161|0.02619772218167782|0.013717945665121078|0.014166769571602345|0.02569715492427349|0.02946046181023121|0.02870023064315319|0.025676388293504715|0.030584324151277542|0.05214488133788109|0.04738730192184448|0.01401781290769577|0.013389325700700283|0.017696373164653778|0.018583394587039948|0.037362825125455856|0.008527328260242939|0.020901761949062347|0.02010195702314377|0.05268733948469162|0.04590780287981033|0.013996054418385029|0.09251559525728226|0.03697466850280762|0.015208818949759007|0.05221165716648102|0.023405911400914192|0.003077406669035554|0.06360731273889542|0.03753221407532692|0.06140834838151932|0.04863252118229866|0.07718975096940994|0.011645112186670303|0.06267819553613663|0.002583466237410903|0.021347742527723312|0.022541342303156853|0.01439780741930008|0.034166786819696426|0.06156839430332184|0.014686777256429195|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.020083805546164513|0.06743965297937393|0.064300037920475|0.05232716351747513|0.014182662591338158|0.0334678590297699|0.08147689700126648|0.019844554364681244|0.045158423483371735|0.003684881143271923|0.07929908484220505|0.013965130783617496|0.004539829678833485|0.022588146850466728|0.00391248008236289|0.12441803514957428|0.08563025295734406|0.0075126467272639275|0.06573735922574997|0.04616048187017441|0.018926475197076797|0.09077884256839752|0.06924206018447876|0.017170315608382225|0.07952986657619476|0.05694739893078804|0.06487215310335159|0.004804215393960476|0.03683234751224518|0.010198542848229408|0.12848536670207977|0.007051840890198946|0.015532233752310276|0.06016038358211517|0.019003985449671745|0.04138651117682457|0.008215700276196003|0.04738951474428177|0.07491087913513184|0.013303242623806|0.0648084357380867|0.06552620232105255|0.04941120743751526|0.01192648895084858|0.06681668013334274|0.014149772934615612|0.06524107605218887
lucas,128,v9,0,0.837,31.171,31.171,21|266|312|344|346|350|371|391|393|397|413|423|424|768|807|885|921|955|1046|1142|1554|1586|1588|1905|1982|1999|2091|2123|2131|2183|2581|2611|2744|2748|2873|2878|2903|2912|2979|2990|2995|3013|3022|3026|3044|3056|3057|3062|3080|3087|3091|3098|3124|3137|3143|3146|3148|3156|3166|3172|3184|3190|3196|3208|3239|3247|3260|3261|3379|3399|3407|3408|3415|3431|3434|3445|3446|3450|3451|3454|3456|3457|3458|3461|3463|3464|3465|3466|3471|3473|3474|3478|3479|3483|3493|3602|3605|3607|3608|3611|3613|3619|3620|3640|3652|3739|3761|3778|3788|3790|3800|3804|3812|3827|3839|3841|3856|3891|3972|3977|4065|4111|4132|4141|4145|4154|4167|4191,0.0682593286037445|0.021152371540665627|0.048172108829021454|0.036498118191957474|0.06358764320611954|0.007754504214972258|0.03291267529129982|0.01794695481657982|0.03797547146677971|0.00955069437623024|0.0072024608962237835|0.040414027869701385|0.014208571054041386|0.01616835594177246|0.04929513856768608|0.047113433480262756|0.021312449127435684|0.036387789994478226|0.08844870328903198|0.00347000639885664|0.06552356481552124|0.03159989044070244|0.008808399550616741|0.08421619981527328|0.024379128590226173|0.053391870111227036|0.04047471284866333|0.03649183362722397|0.030034365132451057|0.08016519248485565|0.08690046519041061|0.06074446812272072|0.061957940459251404|0.012565774843096733|0.02652420476078987|0.01925480179488659|0.002111199079081416|0.020339928567409515|0.026613444089889526|0.03371862694621086|0.03058653138577938|0.02264977991580963|0.014617428183555603|0.04133593663573265|0.01185104250907898|0.04764078930020332|0.0038671852089464664|0.06688523292541504|0.036898620426654816|0.027600303292274475|0.06873913109302521|0.02627037838101387|0.07605466991662979|0.1116260215640068|0.08076955378055573|0.06098128855228424|0.017106078565120697|0.009219588711857796|0.062288179993629456|0.059528645128011703|0.013894407078623772|0.06981728971004486|0.07344556599855423|0.03527500107884407|0.1671570986509323|0.04115254059433937|0.01577860862016678|0.07408587634563446|0.02619772218167782|0.014166769571602345|0.02569715492427349|0.02946046181023121|0.02870023064315319|0.01401781290769577|0.013389325700700283|0.037362825125455856|0.008527328260242939|0.05268733948469162|0.04590780287981033|0.013996054418385029|0.09251559525728226|0.03697466850280762|0.015208818949759007|0.05221165716648102|0.023405911400914192|0.003077406669035554|0.06360731273889542|0.03753221407532692|0.06140834838151932|0.04863252118229866|0.07718975096940994|0.011645112186670303|0.06267819553613663|0.021347742527723312|0.022541342303156853|0.034166786819696426|0.06156839430332184|0.014686777256429195|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.020083805546164513|0.06743965297937393|0.014182662591338158|0.0334678590297699|0.019844554364681244|0.003684881143271923|0.07929908484220505|0.013965130783617496|0.004539829678833485|0.022588146850466728|0.00391248008236289|0.12441803514957428|0.08563025295734406|0.0075126467272639275|0.06573735922574997|0.04616048187017441|0.09077884256839752|0.07952986657619476|0.05694739893078804|0.12848536670207977|0.06016038358211517|0.019003985449671745|0.04738951474428177|0.07491087913513184|0.013303242623806|0.0648084357380867|0.014149772934615612
lucas,64,v9,0,0.84,30.9,30.9,344|350|393|397|423|1554|1588|1999|2123|2912|2979|2995|3013|3056|3057|3091|3124|3146|3148|3156|3166|3172|3184|3190|3196|3208|3239|3260|3407|3415|3434|3445|3446|3454|3456|3457|3458|3463|3471|3473|3474|3478|3483|3493|3602|3605|3607|3608|3611|3613|3619|3620|3640|3652|3788|3839|3841|3856|3972|3977|4132|4141|4145|4191,0.036498118191957474|0.007754504214972258|0.03797547146677971|0.00955069437623024|0.040414027869701385|0.06552356481552124|0.008808399550616741|0.053391870111227036|0.03649183362722397|0.020339928567409515|0.026613444089889526|0.03058653138577938|0.02264977991580963|0.04764078930020332|0.0038671852089464664|0.06873913109302521|0.07605466991662979|0.06098128855228424|0.017106078565120697|0.009219588711857796|0.062288179993629456|0.059528645128011703|0.013894407078623772|0.06981728971004486|0.07344556599855423|0.03527500107884407|0.1671570986509323|0.01577860862016678|0.02569715492427349|0.02870023064315319|0.013389325700700283|0.037362825125455856|0.008527328260242939|0.013996054418385029|0.09251559525728226|0.03697466850280762|0.015208818949759007|0.023405911400914192|0.06140834838151932|0.04863252118229866|0.07718975096940994|0.011645112186670303|0.021347742527723312|0.022541342303156853|0.034166786819696426|0.06156839430332184|0.014686777256429195|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.020083805546164513|0.06743965297937393|0.014182662591338158|0.0334678590297699|0.013965130783617496|0.0075126467272639275|0.06573735922574997|0.04616048187017441|0.07952986657619476|0.05694739893078804|0.019003985449671745|0.04738951474428177|0.07491087913513184|0.014149772934615612
lucas,32,v9,0,0.839,30.995,30.995,397|423|1999|2123|2995|3057|3146|3156|3166|3184|3190|3208|3239|3407|3434|3445|3446|3457|3471|3474|3478|3483|3607|3608|3611|3613|3620|3652|3788|3841|3856|4191,0.00955069437623024|0.040414027869701385|0.053391870111227036|0.03649183362722397|0.03058653138577938|0.0038671852089464664|0.06098128855228424|0.009219588711857796|0.062288179993629456|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.1671570986509323|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.008527328260242939|0.03697466850280762|0.06140834838151932|0.07718975096940994|0.011645112186670303|0.021347742527723312|0.014686777256429195|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496|0.06573735922574997|0.04616048187017441|0.014149772934615612
lucas,16,v9,0,0.805,34.122,34.122,397|2123|3156|3184|3190|3208|3407|3434|3445|3474|3608|3611|3613|3620|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496
lucas,8,v9,0,0.692,42.815,42.815,2123|3156|3184|3208|3445|3474|3611|3613,0.03649183362722397|0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176
