dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,8,mcuve,0.22,68.23,1.13,5
lucas,8,mcuve,0.22,68.23,1.13,6
lucas,8,mcuve,0.22,68.23,1.13,7
lucas,8,mcuve,0.22,68.23,1.13,8
lucas,8,mcuve,0.22,68.23,1.13,9
lucas,8,mcuve,0.22,68.23,1.13,10
lucas,8,mcuve,0.22,68.23,1.13,11
lucas,8,mcuve,0.22,68.23,1.13,12
lucas,8,mcuve,0.22,68.23,1.13,13
lucas,8,mcuve,0.22,68.23,1.13,14
lucas,8,mcuve,0.22,68.23,1.13,15
lucas,8,mcuve,0.22,68.23,1.13,16
lucas,8,mcuve,0.22,68.23,1.13,17
lucas,8,mcuve,0.22,68.23,1.13,18
lucas,8,mcuve,0.22,68.23,1.13,19
