dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,mcuve,0.68,43.61,1.77,0
lucas,512,mcuve,0.68,43.61,1.77,1
lucas,512,mcuve,0.68,43.61,1.77,2
lucas,512,mcuve,0.68,43.61,1.77,3
lucas,512,mcuve,0.68,43.61,1.77,4
lucas,512,mcuve,0.68,43.61,1.77,5
lucas,512,mcuve,0.68,43.61,1.77,6
lucas,512,mcuve,0.68,43.61,1.77,7
lucas,512,mcuve,0.68,43.61,1.77,8
lucas,512,mcuve,0.68,43.61,1.77,9
lucas,512,mcuve,0.68,43.61,1.77,10
lucas,512,mcuve,0.68,43.61,1.77,11
lucas,512,mcuve,0.68,43.61,1.77,12
lucas,512,mcuve,0.68,43.61,1.77,13
lucas,512,mcuve,0.68,43.61,1.77,14
lucas,512,mcuve,0.68,43.61,1.77,15
lucas,512,mcuve,0.68,43.61,1.77,16
lucas,512,mcuve,0.68,43.61,1.77,17
lucas,512,mcuve,0.68,43.61,1.77,18
lucas,512,mcuve,0.68,43.61,1.77,19
lucas,256,mcuve,0.58,50.08,1.54,0
lucas,256,mcuve,0.58,50.08,1.54,1
lucas,256,mcuve,0.58,50.08,1.54,2
lucas,256,mcuve,0.58,50.08,1.54,3
lucas,256,mcuve,0.58,50.08,1.54,4
lucas,256,mcuve,0.58,50.08,1.54,5
lucas,256,mcuve,0.58,50.08,1.54,6
lucas,256,mcuve,0.58,50.08,1.54,7
lucas,256,mcuve,0.58,50.08,1.54,8
lucas,256,mcuve,0.58,50.08,1.54,9
lucas,256,mcuve,0.58,50.08,1.54,10
lucas,256,mcuve,0.58,50.08,1.54,11
lucas,256,mcuve,0.58,50.08,1.54,12
lucas,256,mcuve,0.58,50.08,1.54,13
lucas,256,mcuve,0.58,50.08,1.54,14
lucas,256,mcuve,0.58,50.08,1.54,15
lucas,256,mcuve,0.58,50.08,1.54,16
lucas,256,mcuve,0.58,50.08,1.54,17
lucas,256,mcuve,0.58,50.08,1.54,18
lucas,256,mcuve,0.58,50.08,1.54,19
lucas,128,mcuve,0.59,49.52,1.56,0
lucas,128,mcuve,0.59,49.52,1.56,1
lucas,128,mcuve,0.59,49.52,1.56,2
lucas,128,mcuve,0.59,49.52,1.56,3
lucas,128,mcuve,0.59,49.52,1.56,4
lucas,128,mcuve,0.59,49.52,1.56,5
lucas,128,mcuve,0.59,49.52,1.56,6
lucas,128,mcuve,0.59,49.52,1.56,7
lucas,128,mcuve,0.59,49.52,1.56,8
lucas,128,mcuve,0.59,49.52,1.56,9
lucas,128,mcuve,0.59,49.52,1.56,10
lucas,128,mcuve,0.59,49.52,1.56,11
lucas,128,mcuve,0.59,49.52,1.56,12
lucas,128,mcuve,0.59,49.52,1.56,13
lucas,128,mcuve,0.59,49.52,1.56,14
lucas,128,mcuve,0.59,49.52,1.56,15
lucas,128,mcuve,0.59,49.52,1.56,16
lucas,128,mcuve,0.59,49.52,1.56,17
lucas,128,mcuve,0.59,49.52,1.56,18
lucas,128,mcuve,0.59,49.52,1.56,19
lucas,64,mcuve,0.51,54.07,1.43,0
lucas,64,mcuve,0.51,54.07,1.43,1
lucas,64,mcuve,0.51,54.07,1.43,2
lucas,64,mcuve,0.51,54.07,1.43,3
lucas,64,mcuve,0.51,54.07,1.43,4
lucas,64,mcuve,0.51,54.07,1.43,5
lucas,64,mcuve,0.51,54.07,1.43,6
lucas,64,mcuve,0.51,54.07,1.43,7
lucas,64,mcuve,0.51,54.07,1.43,8
lucas,64,mcuve,0.51,54.07,1.43,9
lucas,64,mcuve,0.51,54.07,1.43,10
lucas,64,mcuve,0.51,54.07,1.43,11
lucas,64,mcuve,0.51,54.07,1.43,12
lucas,64,mcuve,0.51,54.07,1.43,13
lucas,64,mcuve,0.51,54.07,1.43,14
lucas,64,mcuve,0.51,54.07,1.43,15
lucas,64,mcuve,0.51,54.07,1.43,16
lucas,64,mcuve,0.51,54.07,1.43,17
lucas,64,mcuve,0.51,54.07,1.43,18
lucas,64,mcuve,0.51,54.07,1.43,19
lucas,32,mcuve,0.46,56.59,1.36,0
lucas,32,mcuve,0.46,56.59,1.36,1
lucas,32,mcuve,0.46,56.59,1.36,2
lucas,32,mcuve,0.46,56.59,1.36,3
lucas,32,mcuve,0.46,56.59,1.36,4
lucas,32,mcuve,0.46,56.59,1.36,5
lucas,32,mcuve,0.46,56.59,1.36,6
lucas,32,mcuve,0.46,56.59,1.36,7
lucas,32,mcuve,0.46,56.59,1.36,8
lucas,32,mcuve,0.46,56.59,1.36,9
lucas,32,mcuve,0.46,56.59,1.36,10
lucas,32,mcuve,0.46,56.59,1.36,11
lucas,32,mcuve,0.46,56.59,1.36,12
lucas,32,mcuve,0.46,56.59,1.36,13
lucas,32,mcuve,0.46,56.59,1.36,14
lucas,32,mcuve,0.46,56.59,1.36,15
lucas,32,mcuve,0.46,56.59,1.36,16
lucas,32,mcuve,0.46,56.59,1.36,17
lucas,32,mcuve,0.46,56.59,1.36,18
lucas,32,mcuve,0.46,56.59,1.36,19
lucas,16,mcuve,0.29,65.17,1.18,0
lucas,16,mcuve,0.29,65.17,1.18,1
lucas,16,mcuve,0.29,65.17,1.18,2
lucas,16,mcuve,0.29,65.17,1.18,3
lucas,16,mcuve,0.29,65.17,1.18,4
lucas,16,mcuve,0.29,65.17,1.18,5
lucas,16,mcuve,0.29,65.17,1.18,6
lucas,16,mcuve,0.29,65.17,1.18,7
lucas,16,mcuve,0.29,65.17,1.18,8
lucas,16,mcuve,0.29,65.17,1.18,9
lucas,16,mcuve,0.29,65.17,1.18,10
lucas,16,mcuve,0.29,65.17,1.18,11
lucas,16,mcuve,0.29,65.17,1.18,12
lucas,16,mcuve,0.29,65.17,1.18,13
lucas,16,mcuve,0.29,65.17,1.18,14
lucas,16,mcuve,0.29,65.17,1.18,15
lucas,16,mcuve,0.29,65.17,1.18,16
lucas,16,mcuve,0.29,65.17,1.18,17
lucas,16,mcuve,0.29,65.17,1.18,18
lucas,16,mcuve,0.29,65.17,1.18,19
lucas,8,mcuve,0.22,68.23,1.13,0
lucas,8,mcuve,0.22,68.23,1.13,1
lucas,8,mcuve,0.22,68.23,1.13,2
lucas,8,mcuve,0.22,68.23,1.13,3
lucas,8,mcuve,0.22,68.23,1.13,4
