dataset,target_size,algorithm,time,r2,rmse,rpd,selected_features,selected_weights
lucas,30,v9,244.813,0.822,32.553,32.553,3|1255|1438|1727|2034|2152|2389|2478|2667|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3579|3611|3613|3615|3659|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.067996546626091|0.0715770274400711|0.08679724484682083|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.18650415539741516|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.044181350618600845|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,29,v9,0.0,0.822,32.53,32.53,3|1255|1438|1727|2034|2152|2389|2667|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3579|3611|3613|3615|3659|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.067996546626091|0.08679724484682083|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.18650415539741516|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.044181350618600845|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,28,v9,0.0,0.821,32.689,32.689,3|1255|1438|1727|2034|2152|2389|2667|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|3659|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.067996546626091|0.08679724484682083|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.044181350618600845|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,27,v9,0.0,0.824,32.398,32.398,3|1255|1438|1727|2034|2152|2389|2667|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.067996546626091|0.08679724484682083|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,26,v9,0.0,0.825,32.257,32.257,3|1255|1438|1727|2034|2152|2389|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.067996546626091|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,25,v9,0.0,0.825,32.286,32.286,3|1255|1438|1727|2034|2152|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.1575009822845459|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,24,v9,0.0,0.825,32.319,32.319,3|1255|1727|2034|2152|2912|3184|3196|3208|3304|3366|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.10381659120321274|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,23,v9,0.0,0.826,32.238,32.238,3|1255|1727|2034|2152|2912|3184|3196|3208|3304|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.0017465758137404919|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,22,v9,0.0,0.827,32.099,32.099,3|1255|1727|2034|2152|2912|3184|3196|3208|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.07200291007757187|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
lucas,21,v9,0.0,0.826,32.167,32.167,3|1255|2034|2152|2912|3184|3196|3208|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154|4195,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847|0.16745032370090485
