dataset,target_size,algorithm,time,r2,rmse,rpd,selected_features,selected_weights
lucas,20,v9,0.0,0.824,32.416,32.416,3|1255|2034|2152|2912|3184|3196|3208|3421|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.09042017161846161|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847
lucas,19,v9,0.0,0.823,32.475,32.475,3|1255|2034|2152|2912|3184|3196|3208|3434|3456|3457|3474|3478|3493|3611|3613|3615|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.2313389927148819|0.19302335381507874|0.016654370352625847
lucas,18,v9,0.0,0.822,32.556,32.556,3|1255|2034|2152|2912|3184|3196|3208|3434|3456|3457|3474|3478|3493|3611|3613|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.3536095917224884|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,17,v9,0.0,0.819,32.875,32.875,3|1255|2034|2152|2912|3184|3196|3208|3434|3456|3457|3474|3478|3493|3613|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|0.22932766377925873|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,16,v9,0.0,0.821,32.662,32.662,3|1255|2034|2152|3184|3196|3208|3434|3456|3457|3474|3478|3493|3613|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.35832443833351135|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,15,v9,0.0,0.822,32.617,32.617,3|1255|2034|2152|3184|3196|3208|3434|3456|3457|3474|3478|3613|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.25456345081329346|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,14,v9,0.0,0.822,32.54,32.54,3|1255|2034|2152|3184|3196|3434|3456|3457|3474|3478|3613|4114|4154,0.3311063349246979|0.07580400258302689|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,13,v9,0.0,0.826,32.228,32.228,3|2034|2152|3184|3196|3434|3456|3457|3474|3478|3613|4114|4154,0.3311063349246979|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.02134733274579048|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,12,v9,0.0,0.827,32.135,32.135,3|2034|2152|3184|3196|3456|3457|3474|3478|3613|4114|4154,0.3311063349246979|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.29848262667655945|0.14093899726867676|0.008236357942223549|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,11,v9,0.0,0.827,32.15,32.15,3|2034|2152|3184|3196|3456|3457|3478|3613|4114|4154,0.3311063349246979|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.29848262667655945|0.14093899726867676|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,10,v9,0.0,0.823,32.495,32.495,3|2034|2152|3184|3196|3457|3478|3613|4114|4154,0.3311063349246979|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.14093899726867676|0.20046314597129822|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,9,v9,0.0,0.816,33.155,33.155,3|2034|2152|3184|3196|3457|3613|4114|4154,0.3311063349246979|0.06840290129184723|0.10611343383789062|1.7573208808898926|0.37525370717048645|0.14093899726867676|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,8,v9,0.0,0.817,33.064,33.064,3|2034|3184|3196|3457|3613|4114|4154,0.3311063349246979|0.06840290129184723|1.7573208808898926|0.37525370717048645|0.14093899726867676|0.16531969606876373|0.19302335381507874|0.016654370352625847
lucas,7,v9,0.0,0.77,37.022,37.022,3|2034|3184|3196|3457|4114|4154,0.3311063349246979|0.06840290129184723|1.7573208808898926|0.37525370717048645|0.14093899726867676|0.19302335381507874|0.016654370352625847
lucas,6,v9,0.0,0.771,36.974,36.974,3|2034|3184|3457|4114|4154,0.3311063349246979|0.06840290129184723|1.7573208808898926|0.14093899726867676|0.19302335381507874|0.016654370352625847
lucas,5,v9,0.0,0.747,38.818,38.818,3|2034|3184|3457|4154,0.3311063349246979|0.06840290129184723|1.7573208808898926|0.14093899726867676|0.016654370352625847
