dataset,target_size,algorithm,time,r2,rmse,rpd,selected_features,selected_weights
lucas,20,v10,0.0,0.825,32.336,32.336,397|423|2123|3057|3156|3184|3190|3208|3407|3434|3445|3474|3478|3608|3611|3613|3620|3652|3788|3841,0.00955069437623024|0.040414027869701385|0.03649183362722397|0.0038671852089464664|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.011645112186670303|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496|0.06573735922574997
lucas,19,v10,0.0,0.824,32.368,32.368,397|423|2123|3057|3156|3184|3190|3208|3407|3434|3445|3474|3478|3608|3611|3613|3620|3652|3788,0.00955069437623024|0.040414027869701385|0.03649183362722397|0.0038671852089464664|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.011645112186670303|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496
lucas,18,v10,0.0,0.807,33.925,33.925,397|423|2123|3156|3184|3190|3208|3407|3434|3445|3474|3478|3608|3611|3613|3620|3652|3788,0.00955069437623024|0.040414027869701385|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.011645112186670303|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496
lucas,17,v10,0.0,0.806,34.007,34.007,397|2123|3156|3184|3190|3208|3407|3434|3445|3474|3478|3608|3611|3613|3620|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.011645112186670303|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496
lucas,16,v10,0.0,0.805,34.122,34.122,397|2123|3156|3184|3190|3208|3407|3434|3445|3474|3608|3611|3613|3620|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.06743965297937393|0.0334678590297699|0.013965130783617496
lucas,15,v10,0.0,0.806,34.016,34.016,397|2123|3156|3184|3190|3208|3407|3434|3445|3474|3608|3611|3613|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.010775010101497173|0.04221010208129883|0.004658136051148176|0.0334678590297699|0.013965130783617496
lucas,14,v10,0.0,0.807,33.892,33.892,397|2123|3156|3184|3190|3208|3407|3434|3445|3474|3611|3613|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.02569715492427349|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176|0.0334678590297699|0.013965130783617496
lucas,13,v10,0.0,0.806,33.989,33.989,397|2123|3156|3184|3190|3208|3434|3445|3474|3611|3613|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.013389325700700283|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176|0.0334678590297699|0.013965130783617496
lucas,12,v10,0.0,0.805,34.058,34.058,397|2123|3156|3184|3190|3208|3445|3474|3611|3613|3652|3788,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176|0.0334678590297699|0.013965130783617496
lucas,11,v10,0.0,0.801,34.426,34.426,397|2123|3156|3184|3190|3208|3445|3474|3611|3613|3652,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.06981728971004486|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176|0.0334678590297699
lucas,10,v10,0.0,0.803,34.283,34.283,397|2123|3156|3184|3208|3445|3474|3611|3613|3652,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176|0.0334678590297699
lucas,9,v10,0.0,0.804,34.145,34.145,397|2123|3156|3184|3208|3445|3474|3611|3613,0.00955069437623024|0.03649183362722397|0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176
lucas,8,v10,0.0,0.692,42.815,42.815,2123|3156|3184|3208|3445|3474|3611|3613,0.03649183362722397|0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176
lucas,7,v10,0.0,0.691,42.902,42.902,3156|3184|3208|3445|3474|3611|3613,0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.04221010208129883|0.004658136051148176
lucas,6,v10,0.0,0.705,41.943,41.943,3156|3184|3208|3445|3474|3613,0.009219588711857796|0.013894407078623772|0.03527500107884407|0.037362825125455856|0.07718975096940994|0.004658136051148176
lucas,5,v10,0.0,0.689,43.063,43.063,3156|3184|3208|3474|3613,0.009219588711857796|0.013894407078623772|0.03527500107884407|0.07718975096940994|0.004658136051148176
