dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,512,v6,0.83,31.93,2.42,0
lucas,512,v6,0.83,31.93,2.42,1
lucas,512,v6,0.83,31.93,2.42,2
lucas,512,v6,0.83,31.93,2.42,3
lucas,512,v6,0.83,31.93,2.42,4
lucas,512,v6,0.83,31.93,2.42,5
lucas,512,v6,0.83,31.93,2.42,6
lucas,512,v6,0.83,31.93,2.42,7
lucas,512,v6,0.83,31.93,2.42,8
lucas,512,v6,0.83,31.93,2.42,9
lucas,512,v6,0.83,31.93,2.42,10
lucas,512,v6,0.83,31.93,2.42,11
lucas,512,v6,0.83,31.93,2.42,12
lucas,512,v6,0.83,31.93,2.42,13
lucas,512,v6,0.83,31.93,2.42,14
lucas,512,v6,0.83,31.93,2.42,15
lucas,512,v6,0.83,31.93,2.42,16
lucas,512,v6,0.83,31.93,2.42,17
lucas,512,v6,0.83,31.93,2.42,18
lucas,512,v6,0.83,31.93,2.42,19
lucas,256,v6,0.83,31.53,2.45,0
lucas,256,v6,0.83,31.53,2.45,1
lucas,256,v6,0.83,31.53,2.45,2
lucas,256,v6,0.83,31.53,2.45,3
lucas,256,v6,0.83,31.53,2.45,4
lucas,256,v6,0.83,31.53,2.45,5
lucas,256,v6,0.83,31.53,2.45,6
lucas,256,v6,0.83,31.53,2.45,7
lucas,256,v6,0.83,31.53,2.45,8
lucas,256,v6,0.83,31.53,2.45,9
lucas,256,v6,0.83,31.53,2.45,10
lucas,256,v6,0.83,31.53,2.45,11
lucas,256,v6,0.83,31.53,2.45,12
lucas,256,v6,0.83,31.53,2.45,13
lucas,256,v6,0.83,31.53,2.45,14
lucas,256,v6,0.83,31.53,2.45,15
lucas,256,v6,0.83,31.53,2.45,16
lucas,256,v6,0.83,31.53,2.45,17
lucas,256,v6,0.83,31.53,2.45,18
lucas,256,v6,0.83,31.53,2.45,19
lucas,128,v6,0.83,31.85,2.42,0
lucas,128,v6,0.83,31.85,2.42,1
lucas,128,v6,0.83,31.85,2.42,2
lucas,128,v6,0.83,31.85,2.42,3
lucas,128,v6,0.83,31.85,2.42,4
lucas,128,v6,0.83,31.85,2.42,5
lucas,128,v6,0.83,31.85,2.42,6
lucas,128,v6,0.83,31.85,2.42,7
lucas,128,v6,0.83,31.85,2.42,8
lucas,128,v6,0.83,31.85,2.42,9
lucas,128,v6,0.83,31.85,2.42,10
lucas,128,v6,0.83,31.85,2.42,11
lucas,128,v6,0.83,31.85,2.42,12
lucas,128,v6,0.83,31.85,2.42,13
lucas,128,v6,0.83,31.85,2.42,14
lucas,128,v6,0.83,31.85,2.42,15
lucas,128,v6,0.83,31.85,2.42,16
lucas,128,v6,0.83,31.85,2.42,17
lucas,128,v6,0.83,31.85,2.42,18
lucas,128,v6,0.83,31.85,2.42,19
lucas,64,v6,0.83,31.63,2.44,0
lucas,64,v6,0.83,31.63,2.44,1
lucas,64,v6,0.83,31.63,2.44,2
lucas,64,v6,0.83,31.63,2.44,3
lucas,64,v6,0.83,31.63,2.44,4
lucas,64,v6,0.83,31.63,2.44,5
lucas,64,v6,0.83,31.63,2.44,6
lucas,64,v6,0.83,31.63,2.44,7
lucas,64,v6,0.83,31.63,2.44,8
lucas,64,v6,0.83,31.63,2.44,9
lucas,64,v6,0.83,31.63,2.44,10
lucas,64,v6,0.83,31.63,2.44,11
lucas,64,v6,0.83,31.63,2.44,12
lucas,64,v6,0.83,31.63,2.44,13
lucas,64,v6,0.83,31.63,2.44,14
lucas,64,v6,0.83,31.63,2.44,15
lucas,64,v6,0.83,31.63,2.44,16
lucas,64,v6,0.83,31.63,2.44,17
lucas,64,v6,0.83,31.63,2.44,18
lucas,64,v6,0.83,31.63,2.44,19
lucas,32,v6,0.81,33.21,2.32,0
lucas,32,v6,0.81,33.21,2.32,1
lucas,32,v6,0.81,33.21,2.32,2
lucas,32,v6,0.81,33.21,2.32,3
lucas,32,v6,0.81,33.21,2.32,4
lucas,32,v6,0.81,33.21,2.32,5
lucas,32,v6,0.81,33.21,2.32,6
lucas,32,v6,0.81,33.21,2.32,7
lucas,32,v6,0.81,33.21,2.32,8
lucas,32,v6,0.81,33.21,2.32,9
lucas,32,v6,0.81,33.21,2.32,10
lucas,32,v6,0.81,33.21,2.32,11
lucas,32,v6,0.81,33.21,2.32,12
lucas,32,v6,0.81,33.21,2.32,13
lucas,32,v6,0.81,33.21,2.32,14
lucas,32,v6,0.81,33.21,2.32,15
lucas,32,v6,0.81,33.21,2.32,16
lucas,32,v6,0.81,33.21,2.32,17
lucas,32,v6,0.81,33.21,2.32,18
lucas,32,v6,0.81,33.21,2.32,19
lucas,16,v6,0.82,33.07,2.33,0
lucas,16,v6,0.82,33.07,2.33,1
lucas,16,v6,0.82,33.07,2.33,2
lucas,16,v6,0.82,33.07,2.33,3
lucas,16,v6,0.82,33.07,2.33,4
lucas,16,v6,0.82,33.07,2.33,5
lucas,16,v6,0.82,33.07,2.33,6
lucas,16,v6,0.82,33.07,2.33,7
lucas,16,v6,0.82,33.07,2.33,8
lucas,16,v6,0.82,33.07,2.33,9
lucas,16,v6,0.82,33.07,2.33,10
lucas,16,v6,0.82,33.07,2.33,11
lucas,16,v6,0.82,33.07,2.33,12
