dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,30,v10,0.84,30.97,2.49,0
lucas,30,v10,0.84,30.97,2.49,1
lucas,30,v10,0.84,30.97,2.49,2
lucas,30,v10,0.84,30.97,2.49,3
lucas,30,v10,0.84,30.97,2.49,4
lucas,30,v10,0.84,30.97,2.49,5
lucas,30,v10,0.84,30.97,2.49,6
lucas,30,v10,0.84,30.97,2.49,7
lucas,30,v10,0.84,30.97,2.49,8
lucas,30,v10,0.84,30.97,2.49,9
lucas,30,v10,0.84,30.97,2.49,10
lucas,30,v10,0.84,30.97,2.49,11
lucas,30,v10,0.84,30.97,2.49,12
lucas,30,v10,0.84,30.97,2.49,13
lucas,30,v10,0.84,30.97,2.49,14
lucas,30,v10,0.84,30.97,2.49,15
lucas,30,v10,0.84,30.97,2.49,16
lucas,30,v10,0.84,30.97,2.49,17
lucas,30,v10,0.84,30.97,2.49,18
lucas,30,v10,0.84,30.97,2.49,19
lucas,29,v10,0.84,30.98,2.49,0
lucas,29,v10,0.84,30.98,2.49,1
lucas,29,v10,0.84,30.98,2.49,2
lucas,29,v10,0.84,30.98,2.49,3
lucas,29,v10,0.84,30.98,2.49,4
lucas,29,v10,0.84,30.98,2.49,5
lucas,29,v10,0.84,30.98,2.49,6
lucas,29,v10,0.84,30.98,2.49,7
lucas,29,v10,0.84,30.98,2.49,8
lucas,29,v10,0.84,30.98,2.49,9
lucas,29,v10,0.84,30.98,2.49,10
lucas,29,v10,0.84,30.98,2.49,11
lucas,29,v10,0.84,30.98,2.49,12
lucas,29,v10,0.84,30.98,2.49,13
lucas,29,v10,0.84,30.98,2.49,14
lucas,29,v10,0.84,30.98,2.49,15
lucas,29,v10,0.84,30.98,2.49,16
lucas,29,v10,0.84,30.98,2.49,17
lucas,29,v10,0.84,30.98,2.49,18
lucas,29,v10,0.84,30.98,2.49,19
lucas,28,v10,0.84,30.95,2.49,0
lucas,28,v10,0.84,30.95,2.49,1
lucas,28,v10,0.84,30.95,2.49,2
lucas,28,v10,0.84,30.95,2.49,3
lucas,28,v10,0.84,30.95,2.49,4
lucas,28,v10,0.84,30.95,2.49,5
lucas,28,v10,0.84,30.95,2.49,6
lucas,28,v10,0.84,30.95,2.49,7
lucas,28,v10,0.84,30.95,2.49,8
lucas,28,v10,0.84,30.95,2.49,9
lucas,28,v10,0.84,30.95,2.49,10
lucas,28,v10,0.84,30.95,2.49,11
lucas,28,v10,0.84,30.95,2.49,12
lucas,28,v10,0.84,30.95,2.49,13
lucas,28,v10,0.84,30.95,2.49,14
lucas,28,v10,0.84,30.95,2.49,15
lucas,28,v10,0.84,30.95,2.49,16
lucas,28,v10,0.84,30.95,2.49,17
lucas,28,v10,0.84,30.95,2.49,18
lucas,28,v10,0.84,30.95,2.49,19
lucas,27,v10,0.82,32.37,2.39,0
lucas,27,v10,0.82,32.37,2.39,1
lucas,27,v10,0.82,32.37,2.39,2
lucas,27,v10,0.82,32.37,2.39,3
lucas,27,v10,0.82,32.37,2.39,4
lucas,27,v10,0.82,32.37,2.39,5
lucas,27,v10,0.82,32.37,2.39,6
lucas,27,v10,0.82,32.37,2.39,7
lucas,27,v10,0.82,32.37,2.39,8
lucas,27,v10,0.82,32.37,2.39,9
lucas,27,v10,0.82,32.37,2.39,10
lucas,27,v10,0.82,32.37,2.39,11
lucas,27,v10,0.82,32.37,2.39,12
lucas,27,v10,0.82,32.37,2.39,13
lucas,27,v10,0.82,32.37,2.39,14
lucas,27,v10,0.82,32.37,2.39,15
lucas,27,v10,0.82,32.37,2.39,16
lucas,27,v10,0.82,32.37,2.39,17
lucas,27,v10,0.82,32.37,2.39,18
lucas,27,v10,0.82,32.37,2.39,19
lucas,26,v10,0.82,32.41,2.38,0
lucas,26,v10,0.82,32.41,2.38,1
lucas,26,v10,0.82,32.41,2.38,2
lucas,26,v10,0.82,32.41,2.38,3
