dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas,30,v9,0.82,32.55,2.37,0
lucas,30,v9,0.82,32.55,2.37,1
lucas,30,v9,0.82,32.55,2.37,2
lucas,30,v9,0.82,32.55,2.37,3
lucas,30,v9,0.82,32.55,2.37,4
lucas,30,v9,0.82,32.55,2.37,5
lucas,30,v9,0.82,32.55,2.37,6
lucas,30,v9,0.82,32.55,2.37,7
lucas,30,v9,0.82,32.55,2.37,8
lucas,30,v9,0.82,32.55,2.37,9
lucas,30,v9,0.82,32.55,2.37,10
lucas,30,v9,0.82,32.55,2.37,11
lucas,30,v9,0.82,32.55,2.37,12
lucas,30,v9,0.82,32.55,2.37,13
lucas,30,v9,0.82,32.55,2.37,14
lucas,30,v9,0.82,32.55,2.37,15
lucas,30,v9,0.82,32.55,2.37,16
lucas,30,v9,0.82,32.55,2.37,17
lucas,30,v9,0.82,32.55,2.37,18
lucas,30,v9,0.82,32.55,2.37,19
lucas,29,v9,0.82,32.53,2.37,0
lucas,29,v9,0.82,32.53,2.37,1
lucas,29,v9,0.82,32.53,2.37,2
lucas,29,v9,0.82,32.53,2.37,3
lucas,29,v9,0.82,32.53,2.37,4
lucas,29,v9,0.82,32.53,2.37,5
lucas,29,v9,0.82,32.53,2.37,6
lucas,29,v9,0.82,32.53,2.37,7
lucas,29,v9,0.82,32.53,2.37,8
lucas,29,v9,0.82,32.53,2.37,9
lucas,29,v9,0.82,32.53,2.37,10
lucas,29,v9,0.82,32.53,2.37,11
lucas,29,v9,0.82,32.53,2.37,12
lucas,29,v9,0.82,32.53,2.37,13
lucas,29,v9,0.82,32.53,2.37,14
lucas,29,v9,0.82,32.53,2.37,15
lucas,29,v9,0.82,32.53,2.37,16
lucas,29,v9,0.82,32.53,2.37,17
lucas,29,v9,0.82,32.53,2.37,18
lucas,29,v9,0.82,32.53,2.37,19
lucas,28,v9,0.82,32.69,2.36,0
lucas,28,v9,0.82,32.69,2.36,1
lucas,28,v9,0.82,32.69,2.36,2
lucas,28,v9,0.82,32.69,2.36,3
lucas,28,v9,0.82,32.69,2.36,4
lucas,28,v9,0.82,32.69,2.36,5
lucas,28,v9,0.82,32.69,2.36,6
lucas,28,v9,0.82,32.69,2.36,7
lucas,28,v9,0.82,32.69,2.36,8
lucas,28,v9,0.82,32.69,2.36,9
lucas,28,v9,0.82,32.69,2.36,10
lucas,28,v9,0.82,32.69,2.36,11
lucas,28,v9,0.82,32.69,2.36,12
lucas,28,v9,0.82,32.69,2.36,13
lucas,28,v9,0.82,32.69,2.36,14
lucas,28,v9,0.82,32.69,2.36,15
lucas,28,v9,0.82,32.69,2.36,16
